DB Object Symbol,GO ID,DB Object Type
JAK2,GO:0035722,protein
JAK2,GO:0038043,protein
JAK2,GO:0038065,protein
JAK2,GO:0038156,protein
JAK2,GO:0038157,protein
JAK2,GO:0042102,protein
JAK2,GO:0043687,protein
JAK2,GO:0046427,protein
JAK2,GO:0050727,protein
JAK2,GO:0051142,protein
JAK2,GO:0060396,protein
JAK2,GO:0070665,protein
JAK2,GO:0070671,protein
MAFK,GO:0000122,protein
PRMT3,GO:0031397,protein
PRMT3,GO:1900053,protein
PEX10,GO:0000209,protein
PEX10,GO:0007031,protein
PEX10,GO:0016558,protein
PEX10,GO:0016562,protein
PEX10,GO:0034614,protein
KPNA6,GO:0075506,protein
KPNA6,GO:1903902,protein
SRPX2,GO:0042325,protein
SRPX2,GO:0048870,protein
SRPX2,GO:0051965,protein
SRPX2,GO:0098609,protein
UGDH,GO:0006065,protein
UGDH,GO:0034214,protein
UGDH,GO:0048666,protein
TPST2,GO:0006478,protein
ABCC9,GO:0051607,protein
ABCC9,GO:0033198,protein
ABCC9,GO:0061337,protein
ABCC9,GO:0071805,protein
LPXN,GO:0007162,protein
LPXN,GO:0050859,protein
CTNND1,GO:0044331,protein
CTNND1,GO:0050821,protein
CTNND1,GO:0090090,protein
CTNND1,GO:0099072,protein
SLC24A1,GO:0006874,protein
SLC24A1,GO:0035725,protein
SLC24A1,GO:0070588,protein
SLC24A1,GO:0071805,protein
CDC14B,GO:0006470,protein
CDC14B,GO:0007095,protein
CDC14B,GO:1904668,protein
PLA2G6,GO:0019731,protein
PLA2G6,GO:0032049,protein
PLA2G6,GO:0034638,protein
PLA2G6,GO:0035965,protein
HCN1,GO:0035725,protein
HCN1,GO:0042391,protein
HCN1,GO:0051289,protein
HCN1,GO:0071320,protein
HCN1,GO:0071805,protein
SNX2,GO:0042147,protein
SNX2,GO:0072673,protein
GALR3,GO:0007187,protein
GALR3,GO:0045944,protein
GALR3,GO:0090663,protein
CYTIP,GO:0030155,protein
HPGDS,GO:0006693,protein
DPM1,GO:0006506,protein
DPM1,GO:0019348,protein
DPM1,GO:0035268,protein
DPM1,GO:0035269,protein
SLC19A2,GO:0015888,protein
SLC19A2,GO:0031923,protein
MRPS14,GO:0032543,protein
TOM1,GO:0016197,protein
TOM1,GO:0061753,protein
TOM1,GO:0061909,protein
TOM1,GO:1901098,protein
TOM1,GO:1904978,protein
H2BC12,GO:0002227,protein
H2BC12,GO:0019731,protein
H2BC12,GO:0031640,protein
H2BC12,GO:0050829,protein
H2BC12,GO:0050830,protein
H2BC12,GO:0061844,protein
PFKFB2,GO:0006096,protein
CCDC22,GO:0006878,protein
CCDC22,GO:0006893,protein
CCDC22,GO:0007253,protein
CCDC22,GO:0032456,protein
CCDC22,GO:0043123,protein
CCDC22,GO:0043124,protein
CCDC22,GO:2000060,protein
PQBP1,GO:0043484,protein
PQBP1,GO:0000380,protein
PQBP1,GO:0002218,protein
PQBP1,GO:0002230,protein
PQBP1,GO:0032481,protein
PQBP1,GO:0051607,protein
PQBP1,GO:0071360,protein
PAGE4,GO:0035556,protein
PAGE4,GO:0042594,protein
PAGE4,GO:0043066,protein
PAGE4,GO:1903427,protein
DKC1,GO:0000455,protein
DKC1,GO:0007004,protein
DKC1,GO:0051973,protein
DKC1,GO:0090666,protein
DKC1,GO:0090669,protein
DKC1,GO:1904851,protein
DKC1,GO:1904871,protein
DKC1,GO:1904872,protein
DKC1,GO:1904874,protein
CACNA1F,GO:0007601,protein
CACNA1F,GO:0050908,protein
EIF5B,GO:0006446,protein
EIF5B,GO:0042255,protein
TRIM13,GO:0016239,protein
TRIM13,GO:0032897,protein
TRIM13,GO:0036503,protein
TRIM13,GO:0043123,protein
TRIM13,GO:0043161,protein
TRIM13,GO:0044790,protein
TRIM13,GO:0045087,protein
TRIM13,GO:0051092,protein
TRIM13,GO:0051865,protein
EDF1,GO:0043388,protein
KIN,GO:0006260,protein
SH2D1A,GO:0050776,protein
SH2D1A,GO:0050860,protein
GPR37L1,GO:0007193,protein
GPR37L1,GO:0043410,protein
DNAJA2,GO:0042026,protein
BRD4,GO:0006357,protein
BRD4,GO:0010971,protein
BRD4,GO:0032968,protein
BRD4,GO:0043123,protein
BRD4,GO:0045893,protein
BRD4,GO:0045944,protein
BRD4,GO:0050727,protein
CUTA,GO:0008104,protein
OPHN1,GO:0021707,protein
OPHN1,GO:0021895,protein
OPHN1,GO:0030182,protein
OPHN1,GO:0031175,protein
OPHN1,GO:0034329,protein
OPHN1,GO:0035023,protein
OPHN1,GO:0045198,protein
OPHN1,GO:0048667,protein
OPHN1,GO:0099149,protein
RAMP1,GO:0001525,protein
RAMP1,GO:0006816,protein
RAMP1,GO:0007189,protein
RAMP1,GO:0015031,protein
RAMP1,GO:0031623,protein
RAMP1,GO:0060050,protein
RAMP1,GO:0072659,protein
RAMP1,GO:0097647,protein
RAMP2,GO:0001525,protein
RAMP2,GO:0001570,protein
RAMP2,GO:0006816,protein
RAMP2,GO:0010628,protein
RAMP2,GO:0015031,protein
RAMP2,GO:0031623,protein
RAMP2,GO:0034333,protein
RAMP2,GO:0043116,protein
RAMP2,GO:0070830,protein
RAMP2,GO:0072659,protein
RAMP2,GO:2000352,protein
RAMP3,GO:0001921,protein
RAMP3,GO:0006816,protein
RAMP3,GO:0007189,protein
RAMP3,GO:0010628,protein
RAMP3,GO:0010739,protein
RAMP3,GO:0015031,protein
RAMP3,GO:0031623,protein
RAMP3,GO:0050850,protein
RAMP3,GO:0051897,protein
RAMP3,GO:0070374,protein
RAMP3,GO:0072659,protein
RAMP3,GO:0097647,protein
RAMP3,GO:1903078,protein
RAMP3,GO:1904645,protein
SMPD2,GO:0006685,protein
TBL1X,GO:0000122,protein
TBL1X,GO:0006508,protein
TBL1X,GO:0007605,protein
TBL1X,GO:0045893,protein
TBL1X,GO:0045944,protein
TBL1X,GO:0090263,protein
HUS1,GO:0000077,protein
HUS1,GO:0071479,protein
PFDN1,GO:0006457,protein
PFDN1,GO:1905907,protein
PPP1R11,GO:0006511,protein
CTNS,GO:0006749,protein
CTNS,GO:0007420,protein
CTNS,GO:0015811,protein
CTNS,GO:0046034,protein
CTNS,GO:0048021,protein
CTNS,GO:0050890,protein
CTNS,GO:1903432,protein
NBN,GO:0000077,protein
NBN,GO:0000723,protein
NBN,GO:0000724,protein
NBN,GO:0000729,protein
NBN,GO:0006302,protein
NBN,GO:0007095,protein
NBN,GO:0031848,protein
NBN,GO:0031860,protein
NBN,GO:0031954,protein
NBN,GO:0032206,protein
NBN,GO:0032508,protein
NBN,GO:0033674,protein
NBN,GO:0043247,protein
NBN,GO:0062176,protein
NBN,GO:0090656,protein
NBN,GO:0090737,protein
NBN,GO:0097681,protein
NBN,GO:0110025,protein
NBN,GO:1904354,protein
NBN,GO:1990166,protein
NOL3,GO:0006376,protein
NOL3,GO:0014808,protein
NOL3,GO:0043066,protein
NOL3,GO:0051259,protein
NOL3,GO:0090201,protein
NOL3,GO:1902176,protein
NOL3,GO:1990001,protein
NOL3,GO:2001237,protein
SCN2B,GO:0035725,protein
SCN2B,GO:0060048,protein
SCN2B,GO:0060371,protein
SCN2B,GO:0086002,protein
SCN2B,GO:0086012,protein
SCN2B,GO:0086091,protein
SCN2B,GO:2000649,protein
DTNB,GO:0030182,protein
RNGTT,GO:0006370,protein
RNGTT,GO:0006396,protein
LILRB3,GO:0045671,protein
ABCB7,GO:0006879,protein
ABCB7,GO:0034755,protein
ABCB7,GO:0070455,protein
ABCB7,GO:0140466,protein
ABCB7,GO:1903331,protein
MITF,GO:0000122,protein
MITF,GO:0006355,protein
MITF,GO:0010628,protein
MITF,GO:0030336,protein
MITF,GO:0045893,protein
MITF,GO:0045944,protein
MITF,GO:0065003,protein
MITF,GO:2000144,protein
MITF,GO:2001141,protein
PLCH2,GO:0007200,protein
SRGAP2,GO:0003363,protein
SRGAP2,GO:0034446,protein
SRGAP2,GO:0043547,protein
SRGAP2,GO:0046847,protein
SRGAP2,GO:0051014,protein
SRGAP2,GO:0060996,protein
SRGAP2,GO:1904861,protein
SRGAP2,GO:1904862,protein
SRGAP2,GO:2001223,protein
NOS1AP,GO:0003062,protein
NOS1AP,GO:0060307,protein
NOS1AP,GO:0098974,protein
IGSF3,GO:0032808,protein
DNAJC6,GO:0046907,protein
DNAJC6,GO:0072583,protein
DNAJC6,GO:1905443,protein
DENND4B,GO:0032483,protein
TMCC2,GO:0042982,protein
FKTN,GO:0006493,protein
FKTN,GO:0008285,protein
FKTN,GO:0035269,protein
FKTN,GO:0046329,protein
LRP3,GO:0010628,protein
LRP3,GO:0010629,protein
LRP3,GO:0045599,protein
LRP3,GO:0045669,protein
CBFA2T3,GO:0030851,protein
CBFA2T3,GO:0001666,protein
CBFA2T3,GO:0008285,protein
CBFA2T3,GO:0032436,protein
CBFA2T3,GO:0045820,protein
CBFA2T3,GO:0045892,protein
CBFA2T3,GO:1903715,protein
WDR1,GO:0030834,protein
WDR1,GO:0043297,protein
WDR1,GO:0045199,protein
FZD7,GO:0006355,protein
FZD7,GO:0010812,protein
FZD7,GO:0019827,protein
FZD7,GO:0035567,protein
FZD7,GO:0042327,protein
FZD7,GO:0042666,protein
FZD7,GO:0043410,protein
FZD7,GO:0045893,protein
FZD7,GO:0060054,protein
FZD7,GO:0060070,protein
FZD7,GO:0060231,protein
FZD7,GO:0060828,protein
FZD7,GO:2000726,protein
SLIT1,GO:0021834,protein
SLIT1,GO:0007411,protein
SLIT1,GO:0008045,protein
SLIT1,GO:0048846,protein
SLIT1,GO:0050919,protein
SLIT3,GO:0021834,protein
SLIT3,GO:0007411,protein
SLIT3,GO:0030308,protein
SLIT3,GO:0035385,protein
SLIT3,GO:0048846,protein
SLIT3,GO:0050919,protein
SLIT3,GO:0070100,protein
LRP4,GO:0001822,protein
LRP4,GO:0030279,protein
LRP4,GO:0060173,protein
LRP4,GO:0090090,protein
LRP4,GO:0150094,protein
ATP9A,GO:1903542,protein
ATP9A,GO:1905279,protein
ATP9A,GO:2001135,protein
N4BP1,GO:0034644,protein
N4BP1,GO:0045071,protein
ROCK2,GO:0001934,protein
ROCK2,GO:0006468,protein
ROCK2,GO:0007249,protein
ROCK2,GO:0010595,protein
ROCK2,GO:0010628,protein
ROCK2,GO:0016525,protein
ROCK2,GO:0030335,protein
ROCK2,GO:0030866,protein
ROCK2,GO:0035509,protein
ROCK2,GO:0044788,protein
ROCK2,GO:0045019,protein
ROCK2,GO:0045616,protein
ROCK2,GO:0051298,protein
ROCK2,GO:0051496,protein
ROCK2,GO:0071394,protein
ROCK2,GO:0072659,protein
ROCK2,GO:0150033,protein
ROCK2,GO:1902004,protein
ROCK2,GO:1902966,protein
ROCK2,GO:1902993,protein
ROCK2,GO:1903140,protein
ROCK2,GO:1903347,protein
CLASP2,GO:0000226,protein
CLASP2,GO:0006903,protein
CLASP2,GO:0007020,protein
CLASP2,GO:0007030,protein
CLASP2,GO:0007052,protein
CLASP2,GO:0010458,protein
CLASP2,GO:0010470,protein
CLASP2,GO:0010634,protein
CLASP2,GO:0010717,protein
CLASP2,GO:0031023,protein
CLASP2,GO:0031110,protein
CLASP2,GO:0032886,protein
CLASP2,GO:0034453,protein
CLASP2,GO:0045921,protein
CLASP2,GO:0051497,protein
CLASP2,GO:0051895,protein
CLASP2,GO:0072659,protein
CLASP2,GO:0090091,protein
CLASP2,GO:0099187,protein
CLASP2,GO:1903690,protein
CLASP2,GO:1904261,protein
PTCD1,GO:0042780,protein
CPNE3,GO:0030335,protein
CPNE3,GO:0038128,protein
CPNE3,GO:0071277,protein
CPNE3,GO:0071363,protein
DEPDC5,GO:0034198,protein
DEPDC5,GO:1904262,protein
ATG13,GO:0000045,protein
ATG13,GO:0008285,protein
ATG13,GO:0010508,protein
ATG13,GO:1903059,protein
ATG13,GO:1903955,protein
HIP1R,GO:0006898,protein
HIP1R,GO:0006919,protein
HIP1R,GO:0030100,protein
HIP1R,GO:0030837,protein
HIP1R,GO:0032092,protein
HIP1R,GO:0032956,protein
HIP1R,GO:0043065,protein
HIP1R,GO:0045742,protein
HIP1R,GO:0050821,protein
HIP1R,GO:1901030,protein
HIP1R,GO:2000588,protein
OBSL1,GO:0000226,protein
OBSL1,GO:0007030,protein
OBSL1,GO:0007088,protein
OBSL1,GO:0034067,protein
OBSL1,GO:0050775,protein
RNF40,GO:0007346,protein
RNF40,GO:0045944,protein
PHF2,GO:0006482,protein
PHF2,GO:0061188,protein
ZC3H11A,GO:0016973,protein
CLUH,GO:0007005,protein
CLUH,GO:0048312,protein
RAB11FIP3,GO:0016192,protein
RAB11FIP3,GO:0032456,protein
RAB11FIP3,GO:0032465,protein
RAB11FIP3,GO:0043001,protein
RAB11FIP3,GO:0045724,protein
RAB11FIP3,GO:0060627,protein
RAB11FIP3,GO:0061502,protein
RAB11FIP3,GO:0061512,protein
RAB11FIP3,GO:0070164,protein
RAB11FIP3,GO:1902017,protein
RAB11FIP3,GO:1902954,protein
RAB11FIP3,GO:1903438,protein
RAB11FIP3,GO:1904779,protein
RAB11FIP3,GO:1905345,protein
RAB11FIP3,GO:2001135,protein
TSC22D2,GO:0045786,protein
SOCS5,GO:0007175,protein
SOCS5,GO:0032436,protein
NPHP4,GO:0090090,protein
NPHP4,GO:1903348,protein
KDM4A,GO:0010507,protein
KDM4A,GO:0010629,protein
KDM4A,GO:0045892,protein
DNAJC13,GO:0001649,protein
DNAJC13,GO:0007032,protein
DNAJC13,GO:1902954,protein
DNAJC13,GO:2000641,protein
CNOT3,GO:2000036,protein
ANKRD17,GO:0006275,protein
ANKRD17,GO:0042742,protein
ANKRD17,GO:0043123,protein
ANKRD17,GO:0045087,protein
ANKRD17,GO:0045787,protein
ANKRD17,GO:1900087,protein
ANKRD17,GO:1900245,protein
ANKRD17,GO:1900246,protein
DNAJB6,GO:0006457,protein
DNAJB6,GO:0032880,protein
DNAJB6,GO:0043154,protein
DNAJB6,GO:0045109,protein
DNAJB6,GO:0090084,protein
XYLB,GO:0005997,protein
PEX11A,GO:0007031,protein
PEX11A,GO:0007165,protein
PEX11A,GO:0016559,protein
PEX11A,GO:0044375,protein
LRP5,GO:0002053,protein
LRP5,GO:0006007,protein
LRP5,GO:0008217,protein
LRP5,GO:0008284,protein
LRP5,GO:0042632,protein
LRP5,GO:0045600,protein
LRP5,GO:0045668,protein
LRP5,GO:0045840,protein
LRP5,GO:0045893,protein
LRP5,GO:0045944,protein
LRP5,GO:0048539,protein
LRP5,GO:0060042,protein
LRP5,GO:0060070,protein
LRP5,GO:0060349,protein
LRP5,GO:0060612,protein
LRP5,GO:0061304,protein
LRP5,GO:0071901,protein
LRP5,GO:0110135,protein
TMEM127,GO:0008285,protein
TMEM127,GO:0032007,protein
GGCT,GO:0001836,protein
NDUFS7,GO:0006120,protein
NDUFS7,GO:0032981,protein
GADD45B,GO:0043065,protein
GADD45B,GO:0046330,protein
GADD45B,GO:1900745,protein
RTN2,GO:1902430,protein
NDUFS2,GO:0006120,protein
NDUFS2,GO:0006979,protein
NDUFS2,GO:0042775,protein
NDUFS2,GO:0071453,protein
UGT2B11,GO:0008210,protein
UGT2B11,GO:0052697,protein
GLRA3,GO:0051260,protein
GLRA3,GO:1902476,protein
ZPR1,GO:0006260,protein
ZPR1,GO:0010628,protein
ZPR1,GO:0033120,protein
ZPR1,GO:0042307,protein
ZPR1,GO:0045787,protein
ZPR1,GO:0061564,protein
ZPR1,GO:0071364,protein
ZPR1,GO:1990261,protein
USP12,GO:0016579,protein
DUSP11,GO:0006470,protein
NIPSNAP2,GO:0000423,protein
NIPSNAP2,GO:0006119,protein
NIPSNAP2,GO:0007005,protein
SEMA7A,GO:0001649,protein
SEMA7A,GO:0007229,protein
SEMA7A,GO:0045773,protein
SEMA7A,GO:0070374,protein
PPFIA2,GO:0060998,protein
PPFIA2,GO:0061001,protein
PPFIA2,GO:0099519,protein
CILP,GO:0010629,protein
CILP,GO:0030512,protein
CILP,GO:0043569,protein
CILP,GO:0060392,protein
PDCD6,GO:0001938,protein
PDCD6,GO:0006886,protein
PDCD6,GO:0006888,protein
PDCD6,GO:0010595,protein
PDCD6,GO:0014029,protein
PDCD6,GO:0014032,protein
PDCD6,GO:0030948,protein
PDCD6,GO:0032007,protein
PDCD6,GO:0034605,protein
PDCD6,GO:0036324,protein
PDCD6,GO:0043280,protein
PDCD6,GO:0045766,protein
PDCD6,GO:0048208,protein
PDCD6,GO:0051592,protein
PDCD6,GO:0051898,protein
PDCD6,GO:1902527,protein
ALOX12B,GO:0006665,protein
ALOX12B,GO:0010628,protein
ALOX12B,GO:0019369,protein
ALOX12B,GO:0019372,protein
ALOX12B,GO:0043410,protein
ALOX12B,GO:0070257,protein
FKBP6,GO:0045070,protein
ATP6V1G1,GO:0006879,protein
ATP6V1G1,GO:0036295,protein
VPS4B,GO:0016197,protein
VPS4B,GO:0006997,protein
VPS4B,GO:0007080,protein
VPS4B,GO:0010824,protein
VPS4B,GO:0010971,protein
VPS4B,GO:0032510,protein
VPS4B,GO:0033993,protein
VPS4B,GO:0039702,protein
VPS4B,GO:0043162,protein
VPS4B,GO:0046761,protein
VPS4B,GO:0051261,protein
VPS4B,GO:0061952,protein
VPS4B,GO:0090611,protein
VPS4B,GO:1901673,protein
VPS4B,GO:1903542,protein
VPS4B,GO:1903543,protein
VPS4B,GO:1903724,protein
VPS4B,GO:1904903,protein
MPDU1,GO:0009312,protein
ZNF217,GO:0000122,protein
ZNF217,GO:0006355,protein
ZNF217,GO:0045892,protein
PTP4A3,GO:0043542,protein
PTP4A3,GO:0006355,protein
PTP4A3,GO:1901224,protein
PTP4A3,GO:1904951,protein
AVIL,GO:0007015,protein
AVIL,GO:0010592,protein
AVIL,GO:0060271,protein
AVIL,GO:1900480,protein
MACROH2A1,GO:0061187,protein
MACROH2A1,GO:0007549,protein
MACROH2A1,GO:0000122,protein
MACROH2A1,GO:0006281,protein
MACROH2A1,GO:0019216,protein
MACROH2A1,GO:0034184,protein
MACROH2A1,GO:0040029,protein
MACROH2A1,GO:0045618,protein
MACROH2A1,GO:0045814,protein
MACROH2A1,GO:0045815,protein
MACROH2A1,GO:0071169,protein
MACROH2A1,GO:0071901,protein
MACROH2A1,GO:1901837,protein
MACROH2A1,GO:1902750,protein
MACROH2A1,GO:1902882,protein
MACROH2A1,GO:1903226,protein
MACROH2A1,GO:1904815,protein
SH3BGRL,GO:0043161,protein
SH3BGRL,GO:1904690,protein
NCOR1,GO:0000122,protein
NCOR1,GO:0045820,protein
NCOR1,GO:0045892,protein
NCOR1,GO:0045922,protein
NCOR1,GO:0046329,protein
NCOR1,GO:0051225,protein
NCOR1,GO:0060766,protein
NCOR1,GO:1902894,protein
VAMP4,GO:0032456,protein
VAMP4,GO:0035493,protein
PEX14,GO:0007031,protein
PEX14,GO:0016558,protein
PEX14,GO:0016560,protein
PEX14,GO:0016561,protein
PEX14,GO:0032091,protein
PEX14,GO:0034453,protein
PEX14,GO:0034614,protein
PEX14,GO:0036250,protein
PEX14,GO:0043433,protein
PEX14,GO:0044721,protein
PEX14,GO:0045892,protein
PEX14,GO:0065003,protein
TRIM3,GO:0034141,protein
TRIM3,GO:0070534,protein
ULK1,GO:0000045,protein
ULK1,GO:0006914,protein
ULK1,GO:0008104,protein
ULK1,GO:0008285,protein
ULK1,GO:0010508,protein
ULK1,GO:0016236,protein
ULK1,GO:0016241,protein
ULK1,GO:0018105,protein
ULK1,GO:0018107,protein
ULK1,GO:0031175,protein
ULK1,GO:0031333,protein
ULK1,GO:0046777,protein
ULK1,GO:1903059,protein
TULP3,GO:0008277,protein
TULP3,GO:0061512,protein
TULP3,GO:0045879,protein
SLC43A1,GO:0051956,protein
SLC43A1,GO:1905533,protein
SLC43A1,GO:0015804,protein
SLC43A1,GO:0015818,protein
SLC43A1,GO:0015820,protein
SLC43A1,GO:1903785,protein
CS,GO:0005975,protein
SEC22B,GO:0045732,protein
SEC22B,GO:1902902,protein
DEAF1,GO:0000122,protein
DEAF1,GO:0033599,protein
DEAF1,GO:0045892,protein
DEAF1,GO:0045893,protein
PRPF40A,GO:0007010,protein
PRPF40A,GO:0008360,protein
PRPF40A,GO:0016477,protein
PRPF40A,GO:0032465,protein
NME6,GO:0030308,protein
NME6,GO:0045839,protein
POLQ,GO:0006284,protein
POLQ,GO:0006302,protein
POLQ,GO:0006974,protein
POLQ,GO:0031297,protein
POLQ,GO:0042276,protein
POLQ,GO:0051260,protein
POLQ,GO:0097681,protein
POLQ,GO:2000042,protein
CDC45,GO:0006268,protein
MTX2,GO:0006839,protein
VPS26A,GO:0032456,protein
VPS26A,GO:0042147,protein
NDUFB1,GO:0032981,protein
PMPCB,GO:0006627,protein
MAF,GO:0030219,protein
USH2A,GO:0007605,protein
USH2A,GO:0045494,protein
USH2A,GO:0048496,protein
USH2A,GO:0050953,protein
SAP30,GO:0000122,protein
SAP30,GO:0052472,protein
MED24,GO:0045893,protein
MED24,GO:0060261,protein
KATNA1,GO:0031122,protein
RDH16,GO:0008202,protein
ERN1,GO:0001935,protein
ERN1,GO:0006468,protein
ERN1,GO:0033120,protein
ERN1,GO:0034620,protein
ERN1,GO:0034976,protein
ERN1,GO:0035924,protein
ERN1,GO:0036289,protein
ERN1,GO:0036498,protein
ERN1,GO:0043507,protein
ERN1,GO:0046777,protein
ERN1,GO:0070054,protein
ERN1,GO:0071333,protein
ERN1,GO:1900103,protein
ERN1,GO:1901142,protein
ERN1,GO:1904707,protein
ERN1,GO:1990579,protein
E2F6,GO:0000122,protein
CRLF1,GO:0008284,protein
CRLF1,GO:0042531,protein
CRLF1,GO:0043524,protein
NR1I2,GO:0045892,protein
NR1I2,GO:0006355,protein
NR1I2,GO:0006805,protein
NR1I2,GO:0042178,protein
NR1I2,GO:0042908,protein
NR1I2,GO:0045893,protein
NR1I2,GO:0045944,protein
LGR5,GO:0090263,protein
PSIP1,GO:0000395,protein
ERLIN1,GO:0032933,protein
ERLIN1,GO:0036503,protein
ERLIN1,GO:0045540,protein
ERLIN1,GO:0045541,protein
ERLIN1,GO:0045717,protein
TADA2A,GO:0006355,protein
TADA2A,GO:0006357,protein
TADA2A,GO:0051302,protein
TADA2A,GO:0051726,protein
TADA2A,GO:0090043,protein
SUPT3H,GO:0006357,protein
GPC4,GO:0016055,protein
NDUFS3,GO:0006120,protein
NDUFS3,GO:0030308,protein
NDUFS3,GO:0032981,protein
NDUFS3,GO:0072593,protein
NDUFS3,GO:2001243,protein
SRSF10,GO:0000375,protein
SRSF10,GO:0000398,protein
SRSF10,GO:0006376,protein
SRSF10,GO:0048024,protein
SRSF10,GO:0048025,protein
GMNN,GO:0006275,protein
GMNN,GO:0007346,protein
GMNN,GO:0008156,protein
GMNN,GO:0030174,protein
GMNN,GO:0035563,protein
GMNN,GO:0045786,protein
GMNN,GO:0045892,protein
GMNN,GO:0071163,protein
GMNN,GO:2000104,protein
CLN5,GO:0006465,protein
CLN5,GO:0007042,protein
CLN5,GO:0042147,protein
CLN5,GO:0070085,protein
CLN5,GO:1904426,protein
HSBP1,GO:0019896,protein
CLDN11,GO:0120192,protein
TNFRSF21,GO:0006915,protein
TNFRSF21,GO:0031642,protein
TNFRSF21,GO:0071356,protein
TADA3,GO:0000122,protein
TADA3,GO:0006355,protein
TADA3,GO:0006357,protein
TADA3,GO:0010628,protein
TADA3,GO:0045893,protein
TADA3,GO:0051302,protein
TADA3,GO:0051726,protein
TADA3,GO:0090043,protein
TAF5L,GO:0006357,protein
BANF1,GO:0006325,protein
BANF1,GO:0006979,protein
BANF1,GO:0007084,protein
BANF1,GO:0010836,protein
BANF1,GO:0032480,protein
BANF1,GO:0045071,protein
BANF1,GO:0045824,protein
BANF1,GO:0160049,protein
SF3B1,GO:0000398,protein
SF3B1,GO:0045945,protein
CSDE1,GO:0034063,protein
CSDE1,GO:0070934,protein
CSDE1,GO:0070966,protein
CSDE1,GO:0075522,protein
CSDE1,GO:1900152,protein
CSDE1,GO:2000767,protein
WBP4,GO:0000398,protein
WBP4,GO:0045292,protein
SCGB2A1,GO:0030521,protein
JRK,GO:0090263,protein
PRKRA,GO:0030422,protein
PRKRA,GO:0031054,protein
PRKRA,GO:0035196,protein
PRKRA,GO:0050821,protein
PRKRA,GO:0070922,protein
PRKRA,GO:0140374,protein
MTRF1,GO:0070126,protein
CRCP,GO:0006383,protein
ITGA10,GO:0007160,protein
ITGA10,GO:0007229,protein
LRP6,GO:0060070,protein
LRP6,GO:0014029,protein
LRP6,GO:0014033,protein
LRP6,GO:0016055,protein
LRP6,GO:0034392,protein
LRP6,GO:0045787,protein
LRP6,GO:0045893,protein
LRP6,GO:0045944,protein
LRP6,GO:0051091,protein
LRP6,GO:0071397,protein
LRP6,GO:0071901,protein
RPS6KA5,GO:0006355,protein
RPS6KA5,GO:0006468,protein
RPS6KA5,GO:0035556,protein
RPS6KA5,GO:0043687,protein
RPS6KA5,GO:0045892,protein
RPS6KA5,GO:0045944,protein
RPS6KA5,GO:0051092,protein
RPS6KA5,GO:0070498,protein
MED6,GO:0045944,protein
MYCBP2,GO:0016567,protein
MYCBP2,GO:0031398,protein
MYCBP2,GO:0032922,protein
MYCBP2,GO:0070936,protein
FOXH1,GO:0033147,protein
FOXH1,GO:0043433,protein
FOXH1,GO:0045893,protein
FOXH1,GO:0045944,protein
FOXH1,GO:0060766,protein
FOXH1,GO:0071345,protein
PGLYRP1,GO:0016045,protein
PGLYRP1,GO:0031640,protein
PGLYRP1,GO:0050830,protein
PGLYRP1,GO:0061844,protein
GCM2,GO:0006366,protein
GCM2,GO:0006874,protein
GCM2,GO:0030643,protein
GCM2,GO:0060017,protein
USP2,GO:0000122,protein
USP2,GO:0016579,protein
USP2,GO:0045931,protein
USP2,GO:0050821,protein
LYPLA1,GO:0002084,protein
LYPLA1,GO:0015908,protein
LYPLA1,GO:1905336,protein
ERAL1,GO:0000028,protein
PRDM1,GO:0000122,protein
UPK3A,GO:0030855,protein
FCN3,GO:0001867,protein
FCN3,GO:0006508,protein
FCN3,GO:0006956,protein
FCN3,GO:0043654,protein
FCN3,GO:0046597,protein
FCN3,GO:0051607,protein
FCN3,GO:1902679,protein
FCN3,GO:1903028,protein
SNRNP200,GO:0000388,protein
SNRNP200,GO:0000398,protein
SNRNP200,GO:0001649,protein
TIPRL,GO:0000077,protein
TIPRL,GO:0032515,protein
OFD1,GO:0060271,protein
TOM1L1,GO:2000278,protein
TOM1L1,GO:0007165,protein
TOM1L1,GO:0031954,protein
TOM1L1,GO:0032147,protein
TOM1L1,GO:0045839,protein
RPS6KA4,GO:0006355,protein
RPS6KA4,GO:0006468,protein
RPS6KA4,GO:0035556,protein
RPS6KA4,GO:0043687,protein
RPS6KA4,GO:0045944,protein
RPS6KA4,GO:0070498,protein
RFPL1,GO:0008285,protein
RFPL1,GO:0010972,protein
RFPL1,GO:0032436,protein
RFPL1,GO:0043065,protein
RFPL1,GO:0045930,protein
RFPL1,GO:0051782,protein
RFPL1,GO:2001272,protein
PPM1B,GO:0006470,protein
PPM1B,GO:0032688,protein
PPM1B,GO:0035970,protein
PPM1B,GO:0043124,protein
PPM1B,GO:0050687,protein
PPM1B,GO:1901223,protein
ADAP1,GO:0043087,protein
UTP20,GO:0006364,protein
UTP20,GO:0042274,protein
NUP155,GO:0006998,protein
RP2,GO:0007023,protein
RP2,GO:0006892,protein
STK16,GO:0046777,protein
CRTAP,GO:0050821,protein
CRTAP,GO:1901874,protein
SLC25A12,GO:0015810,protein
SLC25A12,GO:0015813,protein
SLC25A12,GO:0043490,protein
SLC25A12,GO:0051592,protein
PIK3C2G,GO:0044788,protein
SLC22A3,GO:0015695,protein
SLC22A3,GO:0015697,protein
SLC22A3,GO:0006836,protein
SLC22A3,GO:0006837,protein
SLC22A3,GO:0015844,protein
