DrugID,DiseaseID,genes_count_ppi,genes_count_msi,same_genes_count,Jaccard_similarity
D008787,D004487,22,22,22,1.0
D018967,D001714,25,25,25,1.0
D000077333,D003921,3,3,3,1.0
D008911,D064420,66,66,66,1.0
D014807,D011471,40,40,40,1.0
D008727,D001169,10,10,10,1.0
D000077205,D009203,75,75,75,1.0
D014750,D010051,26,26,26,1.0
D006830,D001919,19,19,19,1.0
D013469,D010146,17,17,17,1.0
D008775,D016403,39,39,39,1.0
D000068579,D008180,46,46,46,1.0
D000077285,D018487,22,22,22,1.0
D005576,D002471,109,109,109,1.0
C519817,D006930,12,12,12,1.0
D008063,D006946,18,18,18,1.0
D048789,D008569,3,3,3,1.0
C016766,D009336,54,54,54,1.0
D004110,D010146,17,17,17,1.0
D007213,D006976,39,39,39,1.0
D000894,D000236,29,29,29,1.0
D008687,D002277,13,13,13,1.0
D000602,D012640,11,11,11,1.0
D000077337,D008527,47,47,47,1.0
D007665,D001249,3,3,3,1.0
D000077185,D004715,142,142,142,1.0
