DrugID,DiseaseID,genes_count_ppi,genes_count_msi,same_genes_count,Jaccard_similarity
DB00762,C0007131,5,2,2,0.4
DB00619,C0238198,7,2,2,0.2857142857142857
DB00423,C0026838,17,45,4,0.06896551724137931
DB01231,C0042571,9,11,4,0.25
DB00846,C0011615,5,16,3,0.16666666666666666
DB00439,C0020473,1,1,1,1.0
DB01393,C0011849,11,26,4,0.12121212121212122
DB01206,C0024121,37,49,16,0.22857142857142856
DB00603,C0014175,33,31,19,0.4222222222222222
DB01229,C0024121,142,87,82,0.5578231292517006
DB00022,C0018916,22,1,1,0.045454545454545456
DB00727,C0037299,39,16,14,0.34146341463414637
DB00227,C0020473,29,22,21,0.7
DB01009,C0038013,3,4,1,0.16666666666666666
DB00163,C0004153,38,24,22,0.55
DB06766,C0020517,1,1,1,1.0
DB01229,C0919267,75,56,52,0.6582278481012658
DB00203,C0242350,23,8,8,0.34782608695652173
DB06267,C0242350,18,3,3,0.16666666666666666
DB00092,C0033860,42,30,24,0.5
DB00078,C0024301,15,10,10,0.6666666666666666
DB01185,C0151721,15,4,4,0.26666666666666666
DB01396,C0003811,2,3,0,0.0
DB01073,C0024305,17,11,11,0.6470588235294118
DB00203,C2973725,31,13,11,0.3333333333333333
DB00044,C0021361,1,1,1,1.0
DB00682,C0878544,81,14,13,0.15853658536585366
DB01364,C0028754,177,42,35,0.19021739130434784
DB01222,C0010346,5,12,3,0.21428571428571427
DB00940,C0022104,2,1,1,0.5
DB01234,C0022568,21,17,16,0.7272727272727273
DB01165,C0032285,3,6,2,0.2857142857142857
DB06151,C0034067,20,12,11,0.5238095238095238
maropitant,C0042963,1,1,1,1.0
DB00310,C0027726,47,24,22,0.4489795918367347
DB00584,C0003873,1,3,1,0.3333333333333333
DB01599,C0020443,22,13,11,0.4583333333333333
DB00620,C0027726,4,11,2,0.15384615384615385
DB00647,C0030193,15,10,6,0.3157894736842105
DB09064,C0020473,2,2,1,0.3333333333333333
