DrugID,DiseaseID,genes_count_ppi,genes_count_msi,same_genes_count,Jaccard_similarity
DB01262,C0023467,10,15,5,0.25
DB01092,C0018801,5,7,1,0.09090909090909091
DB00004,C0079773,21,19,18,0.8181818181818182
DB00055,C0040053,12,14,12,0.8571428571428571
DB11629,C0020443,27,20,17,0.5666666666666667
DB00968,C0020538,58,14,4,0.058823529411764705
DB05541,C0036572,464,161,144,0.2993762993762994
DB00288,C0079773,4,10,2,0.16666666666666666
DB01380,C0004096,5,9,1,0.07692307692307693
DB06706,C0018681,25,12,10,0.37037037037037035
DB00571,C0018802,58,9,9,0.15517241379310345
DB00821,C0029408,91,22,19,0.20212765957446807
DB01045,C0025289,22,10,10,0.45454545454545453
DB01206,C0006118,6,7,2,0.18181818181818182
DB00568,C0020517,52,41,33,0.55
DB01005,C0002895,8,2,2,0.25
DB06155,C0028754,47,7,5,0.10204081632653061
DB00887,C0018802,56,30,28,0.4827586206896552
DB00489,C0004238,17,20,11,0.4230769230769231
DB00418,C0014544,142,155,61,0.2584745762711864
DB01018,C1263846,22,3,0,0.0
DB00007,C0014170,2,4,0,0.0
DB09080,C0024117,31,3,3,0.0967741935483871
DB11742,C0042109,26,14,13,0.48148148148148145
DB00068,C0036220,1,1,1,1.0
DB01234,C0022548,30,9,7,0.21875
DB00443,C0011616,8,8,0,0.0
DB01197,C0018802,54,18,16,0.2857142857142857
DB00719,C0033774,1,1,1,1.0
DB01281,C3495559,2,2,0,0.0
DB00959,C0019829,1,3,1,0.3333333333333333
DB11994,C0029408,90,29,24,0.25263157894736843
DB00950,C0042109,25,13,12,0.46153846153846156
DB09280,C0010674,1,1,1,1.0
DB00374,C0020542,40,8,6,0.14285714285714285
DB00313,C0002395,67,41,39,0.5652173913043478
DB01070,C0029456,1,1,1,1.0
DB00889,C0042963,1,1,1,1.0
DB04842,C0036341,8,12,7,0.5384615384615384
DB00783,C0029456,139,32,32,0.2302158273381295
DB01233,C0042963,80,13,11,0.13414634146341464
DB00694,C0023487,34,3,3,0.08823529411764706
DB08936,C2607914,1,1,1,1.0
DB00571,C0027051,61,11,9,0.14285714285714285
DB01260,C0015230,11,8,5,0.35714285714285715
DB00724,C0007117,12,1,0,0.0
prednisolone-sodium-phosphate,C0032285,9,18,4,0.17391304347826086
DB00764,C0011616,8,8,0,0.0
DB00262,C0024305,17,10,9,0.5
DB00033,C0018916,10,5,4,0.36363636363636365
DB13036,C0004096,5,4,1,0.125
ACT-132577,C2973725,23,5,3,0.12
DB00996,C0014544,472,217,202,0.41478439425051333
DB00443,C0003872,2,4,0,0.0
DB00937,C0028754,162,1,0,0.0
DB00591,C0079773,4,7,2,0.2222222222222222
DB00722,C0011849,3,4,0,0.0
DB11274,C0030567,16,5,3,0.16666666666666666
DB00790,C0018802,30,7,4,0.12121212121212122
DB00253,C0013182,4,5,3,0.5
DB00108,C0026769,30,22,20,0.625
DB01057,C0017601,34,32,12,0.2222222222222222
DB12017,C0038454,30,2,1,0.03225806451612903
DB00420,C2607914,5,5,5,1.0
DB00620,C0033860,16,24,10,0.3333333333333333
DB00873,C0020473,30,3,3,0.1
DB00532,C0036572,446,11,10,0.02237136465324385
dexamethasone-sodium-phosphate,C0020437,2,8,0,0.0
DB01181,C0023434,28,15,15,0.5357142857142857
DB01114,C0020517,34,10,7,0.1891891891891892
DB00387,C0030567,37,28,22,0.5116279069767442
tepoxalin,C0003873,1,1,1,1.0
DB00233,C0041296,3,2,2,0.6666666666666666
DB06470,C0030567,19,2,1,0.05
DB00482,C0029408,93,47,42,0.42857142857142855
DB00539,C0376358,6,9,6,0.6666666666666666
DB00086,C0034065,2,8,1,0.1111111111111111
DB01033,C0023487,33,24,24,0.7272727272727273
DB00771,C0003811,48,3,1,0.02
DB00214,C0020538,2,3,0,0.0
DB00834,C0011849,67,22,22,0.3283582089552239
DB01628,C0003873,1,1,1,1.0
DB04924,C0018834,2,2,0,0.0
DB01144,C0014544,423,157,131,0.29175946547884185
DB11783,C0018802,1,1,1,1.0
DB00773,C0023467,3,7,2,0.25
DB00997,C0079744,1,4,1,0.25
DB00952,C0149931,34,3,2,0.05714285714285714
DB00068,C0036920,3,3,3,1.0
DB01095,C0020443,1,1,1,1.0
DB01620,C0015967,3,13,2,0.14285714285714285
DB01252,C0011860,8,43,8,0.18604651162790697
DB00620,C2607914,5,3,3,0.6
DB06203,C0011860,2,18,1,0.05263157894736842
DB01013,C0011616,10,12,1,0.047619047619047616
DB01170,C0020538,1,1,1,1.0
DB00774,C0018802,56,24,20,0.3333333333333333
DB01144,C0017601,76,33,24,0.2823529411764706
DB06271,C0040053,19,14,12,0.5714285714285714
DB04942,C0023418,8,17,5,0.25
DB09126,C0021361,1,1,1,1.0
DB04845,C0006142,14,14,14,1.0
DB00909,C0036572,492,222,204,0.4
DB00902,C0011615,1,1,1,1.0
DB00290,C0024301,17,12,12,0.7058823529411765
DB08808,C0003811,7,5,3,0.3333333333333333
DB00844,C0030193,2,9,2,0.2222222222222222
DB00420,C0036341,28,34,14,0.2916666666666667
DB00068,C0037299,1,1,1,1.0
DB09401,C1956346,2,11,1,0.08333333333333333
DB06714,C0028754,152,1,0,0.0
DB00988,C0027051,72,28,26,0.35135135135135137
DB09054,C0023434,32,10,10,0.3125
DB00282,C0026764,1,1,1,1.0
DB00860,C0021655,22,18,11,0.3793103448275862
DB00555,C0005586,354,111,97,0.26358695652173914
DB00499,C0033578,53,137,38,0.25
DB00284,C0020456,23,20,17,0.6538461538461539
DB00029,C0034065,12,8,6,0.42857142857142855
DB00665,C0033578,51,116,37,0.2846153846153846
DB00428,C0009404,56,4,3,0.05263157894736842
DB00792,C0020517,1,1,1,1.0
DB00714,C0242350,26,12,10,0.35714285714285715
DB00972,C0020517,1,1,1,1.0
hydrocortisone-phosphate,C0009319,3,14,2,0.13333333333333333
DB12153,C0017601,62,7,5,0.078125
DB00262,C0004114,1,1,1,1.0
DB01113,C0917798,17,11,8,0.4
DB09068,C1269683,34,20,10,0.22727272727272727
DB06413,C0027404,7,5,3,0.3333333333333333
DB00853,C0017636,1,1,1,1.0
DB00083,C0038379,221,11,10,0.04504504504504504
DB05099,C0040053,1,1,1,1.0
DB01396,C0004238,28,2,2,0.07142857142857142
trepibutone,C0022104,2,1,1,0.5
DB00554,C0029408,91,22,19,0.20212765957446807
DB00755,C0870082,44,29,29,0.6590909090909091
DB00091,C0026896,5,4,4,0.8
DB06782,C0311375,9,16,3,0.13636363636363635
DB06213,C0878544,23,21,10,0.29411764705882354
DB00310,C0013604,50,30,27,0.5094339622641509
DB01195,C0042514,18,12,10,0.5
ibuprofen-lysine,C0013274,2,1,1,0.5
DB00181,C0020179,10,5,5,0.5
DB01600,C0030193,15,1,0,0.0
DB06264,C0038013,2,2,0,0.0
DB00105,C0024305,16,10,9,0.5294117647058824
DB01169,C0023487,33,23,22,0.6470588235294118
DB00415,C0025289,19,6,6,0.3157894736842105
DB01359,C0027051,61,11,9,0.14285714285714285
DB00552,C0002871,1,2,0,0.0
DB00590,C0020507,17,12,11,0.6111111111111112
DB01251,C0011860,2,3,2,0.6666666666666666
DB00255,C1458155,57,120,31,0.21232876712328766
DB09477,C0013604,52,23,21,0.3888888888888889
DB09302,C0020473,1,7,1,0.14285714285714285
DB00433,C0027498,72,44,36,0.45
DB00277,C0004096,72,37,35,0.47297297297297297
DB01005,C0033860,37,3,3,0.08108108108108109
DB00945,C0015967,101,69,62,0.5740740740740741
