DrugID,DiseaseID,genes_count_ppi,genes_count_msi,same_genes_count,Jaccard_similarity
U898,C0009806,136,132,126,0.8873239436619719
U260,C0018681,36,36,36,1.0
U359,C0020429,78,77,77,0.9871794871794872
U834,C0018681,35,34,34,0.9714285714285714
U700,C0020429,77,74,74,0.961038961038961
U559,C0013595,32,32,32,1.0
U265,C0020429,77,75,75,0.974025974025974
U263,C0033774,57,57,57,1.0
U1010,C0917816,114,21,17,0.1440677966101695
U711,C0003862,69,69,69,1.0
U244,C0010200,23,23,23,1.0
U160,C0013491,67,67,67,1.0
U230,C0086132,28,25,25,0.8928571428571429
U891,C0015967,120,112,112,0.9333333333333333
U890,C0008031,37,36,36,0.972972972972973
U612,C0018834,6,6,6,1.0
U399,C0000737,38,3,3,0.07894736842105263
U524,C0020429,77,76,76,0.987012987012987
U76,C0030193,77,76,76,0.987012987012987
U544,C0010200,23,23,23,1.0
U95,C0010200,23,23,23,1.0
U680,C0030193,78,77,77,0.9871794871794872
U335,C0011991,103,95,93,0.8857142857142857
U784,C0009806,143,144,140,0.9523809523809523
U43,C0018681,25,25,25,1.0
U659,C0011991,110,106,104,0.9285714285714286
U584,C0010200,21,21,21,1.0
U36,C0000737,92,91,91,0.9891304347826086
U538,C0030193,77,71,71,0.922077922077922
U360,C0020429,78,77,77,0.9871794871794872
U236,C0030193,76,72,72,0.9473684210526315
U214,C0020429,75,73,72,0.9473684210526315
U614,C0011991,100,91,90,0.8910891089108911
U713,C0030193,75,69,69,0.92
U834,C0011991,111,103,102,0.9107142857142857
U116,C0012833,27,22,22,0.8148148148148148
U669,C0008031,37,36,36,0.972972972972973
U566,C0030193,77,73,73,0.948051948051948
U172,C0030193,69,47,45,0.6338028169014085
U76,C0237326,132,132,132,1.0
U86,C0030193,64,58,54,0.7941176470588235
U260,C0020429,78,76,76,0.9743589743589743
U953,C0020429,76,75,74,0.961038961038961
U83,C0032285,31,31,31,1.0
U858,C0023380,76,75,75,0.9868421052631579
U488,C0020429,57,51,51,0.8947368421052632
U867,C0030193,77,74,74,0.961038961038961
U52,C0013595,32,32,32,1.0
U874,C0013604,66,62,62,0.9393939393939394
U875,C0010200,23,22,22,0.9565217391304348
U560,C0020429,75,75,74,0.9736842105263158
U513,C0030193,77,75,75,0.974025974025974
U594,C0020429,78,78,78,1.0
U614,C0030193,67,62,62,0.9253731343283582
U351,C0013595,32,32,32,1.0
U765,C0018989,27,27,27,1.0
U230,C0700590,77,71,71,0.922077922077922
U533,C0010200,22,21,21,0.9545454545454546
U944,C0851578,24,24,24,1.0
U439,C0019825,31,20,20,0.6451612903225806
U36,C0018681,36,36,36,1.0
U169,C0000737,85,79,78,0.9069767441860465
U349,C0010200,23,23,23,1.0
U396,C0020429,78,77,77,0.9871794871794872
U837,C0039070,23,23,23,1.0
U321,C0018681,35,31,31,0.8857142857142857
U248,C0039070,22,19,19,0.8636363636363636
U607,C0000737,92,92,92,1.0
U959,C0010200,23,23,23,1.0
U50,C0030193,77,74,74,0.961038961038961
U135,C0851578,24,22,22,0.9166666666666666
U5,C0000737,92,92,92,1.0
U590,C0042963,87,22,21,0.23863636363636365
U803,C0015967,106,40,37,0.3394495412844037
U627,C0020429,77,76,76,0.987012987012987
U859,C0020429,78,78,78,1.0
U826,C0000737,92,92,92,1.0
U841,C0012833,27,27,27,1.0
U463,C0009806,155,152,152,0.9806451612903225
U872,C0030193,73,56,56,0.7671232876712328
U447,C0030193,76,68,68,0.8947368421052632
U999,C0008031,37,37,37,1.0
U776,C0008031,37,36,36,0.972972972972973
U443,C0008031,36,35,35,0.9722222222222222
U691,C0030193,75,68,67,0.881578947368421
U635,C0018989,27,25,25,0.9259259259259259
U180,C0237326,131,131,131,1.0
U779,C0010200,23,23,23,1.0
U382,C0015967,124,124,124,1.0
U430,C0018681,36,36,36,1.0
U40,C0022346,2,2,2,1.0
U382,C0011991,115,114,113,0.9741379310344828
U77,C0009421,53,22,22,0.41509433962264153
U526,C0013595,32,31,31,0.96875
U265,C0036572,542,430,424,0.7737226277372263
U505,C0237326,132,132,132,1.0
U6,C0009421,57,56,56,0.9824561403508771
U120,C0030193,77,75,75,0.974025974025974
U963,C0020429,78,77,77,0.9871794871794872
U693,C0020429,77,78,77,0.9871794871794872
U211,C0030193,72,69,69,0.9583333333333334
U202,C0030193,78,76,76,0.9743589743589743
U858,C0020429,78,78,78,1.0
U914,C0020429,75,64,64,0.8533333333333334
U58,C0020429,64,50,47,0.7014925373134329
U578,C0030193,78,77,77,0.9871794871794872
U363,C0013595,32,32,32,1.0
U971,C0000737,92,92,92,1.0
U10,C0009806,154,150,150,0.974025974025974
U247,C0231835,19,13,13,0.6842105263157895
U463,C0237326,131,131,131,1.0
U58,C0030193,63,57,54,0.8181818181818182
U360,C0042571,27,27,27,1.0
U670,C0000737,92,92,92,1.0
U54,C0042963,110,109,109,0.990909090909091
U670,C0042798,169,169,169,1.0
U206,C0030193,77,75,75,0.974025974025974
U372,C0015967,123,123,122,0.9838709677419355
U26,C0018681,36,36,36,1.0
U834,C0020429,54,49,48,0.8727272727272727
U532,C0013595,32,32,32,1.0
U124,C0030193,70,67,66,0.9295774647887324
U296,C0020429,36,16,13,0.3333333333333333
U730,C0042963,110,110,110,1.0
U559,C0020429,78,77,77,0.9871794871794872
U196,C0023380,76,75,75,0.9868421052631579
U195,C0036572,541,486,483,0.8878676470588235
U582,C0015967,123,124,123,0.9919354838709677
U767,C0010200,23,23,23,1.0
U171,C0030193,77,71,71,0.922077922077922
U697,C0030193,77,75,75,0.974025974025974
U24,C0030193,78,76,76,0.9743589743589743
U630,C0003862,89,89,89,1.0
U338,C0011991,114,113,113,0.9912280701754386
U162,C0012833,27,27,27,1.0
U496,C0013595,32,31,31,0.96875
