DrugID,DiseaseID,genes_count_ppi,genes_count_msi,same_genes_count,Jaccard_similarity
U898,C0009806,136,133,129,0.9214285714285714
U260,C0018681,36,36,36,1.0
U359,C0020429,78,78,78,1.0
U834,C0018681,35,34,34,0.9714285714285714
U700,C0020429,77,75,75,0.974025974025974
U559,C0013595,32,32,32,1.0
U265,C0020429,77,77,77,1.0
U263,C0033774,57,57,57,1.0
U1010,C0917816,114,21,17,0.1440677966101695
U711,C0003862,69,69,69,1.0
U244,C0010200,23,23,23,1.0
U160,C0013491,67,67,67,1.0
U230,C0086132,28,26,26,0.9285714285714286
U891,C0015967,120,115,115,0.9583333333333334
U890,C0008031,37,36,36,0.972972972972973
U612,C0018834,6,6,6,1.0
U399,C0000737,38,3,3,0.07894736842105263
U524,C0020429,77,76,76,0.987012987012987
U76,C0030193,77,77,77,1.0
U544,C0010200,23,23,23,1.0
U95,C0010200,23,23,23,1.0
U680,C0030193,78,77,77,0.9871794871794872
U335,C0011991,103,98,97,0.9326923076923077
U784,C0009806,143,146,142,0.9659863945578231
U43,C0018681,25,25,25,1.0
U659,C0011991,110,107,105,0.9375
U584,C0010200,21,21,21,1.0
U36,C0000737,92,91,91,0.9891304347826086
U538,C0030193,77,71,71,0.922077922077922
U360,C0020429,78,78,78,1.0
U236,C0030193,76,76,76,1.0
U214,C0020429,75,72,71,0.9342105263157895
U614,C0011991,100,91,90,0.8910891089108911
U713,C0030193,75,70,70,0.9333333333333333
U834,C0011991,111,105,104,0.9285714285714286
U116,C0012833,27,23,23,0.8518518518518519
U669,C0008031,37,37,37,1.0
U566,C0030193,77,73,73,0.948051948051948
U172,C0030193,69,53,51,0.7183098591549296
U76,C0237326,132,131,131,0.9924242424242424
U86,C0030193,64,60,56,0.8235294117647058
U260,C0020429,78,76,76,0.9743589743589743
U953,C0020429,76,75,74,0.961038961038961
U83,C0032285,31,31,31,1.0
U858,C0023380,76,76,76,1.0
U488,C0020429,57,57,57,1.0
U867,C0030193,77,74,74,0.961038961038961
U52,C0013595,32,32,32,1.0
U874,C0013604,66,63,63,0.9545454545454546
U875,C0010200,23,22,22,0.9565217391304348
U560,C0020429,75,75,74,0.9736842105263158
U513,C0030193,77,77,77,1.0
U594,C0020429,78,78,78,1.0
U614,C0030193,67,62,62,0.9253731343283582
U351,C0013595,32,32,32,1.0
U765,C0018989,27,27,27,1.0
U230,C0700590,77,71,71,0.922077922077922
U533,C0010200,22,21,21,0.9545454545454546
U944,C0851578,24,24,24,1.0
U439,C0019825,31,28,28,0.9032258064516129
U36,C0018681,36,36,36,1.0
U169,C0000737,85,81,81,0.9529411764705882
U349,C0010200,23,23,23,1.0
U396,C0020429,78,77,77,0.9871794871794872
U837,C0039070,23,23,23,1.0
U321,C0018681,35,31,31,0.8857142857142857
U248,C0039070,22,20,20,0.9090909090909091
U607,C0000737,92,92,92,1.0
U959,C0010200,23,23,23,1.0
U50,C0030193,77,76,76,0.987012987012987
U135,C0851578,24,24,24,1.0
U5,C0000737,92,92,92,1.0
U590,C0042963,87,53,52,0.5909090909090909
U803,C0015967,106,102,99,0.908256880733945
U627,C0020429,77,76,76,0.987012987012987
U859,C0020429,78,78,78,1.0
U826,C0000737,92,92,92,1.0
U841,C0012833,27,27,27,1.0
U463,C0009806,155,153,153,0.9870967741935484
U872,C0030193,73,65,65,0.8904109589041096
U447,C0030193,76,69,69,0.9078947368421053
U999,C0008031,37,37,37,1.0
U776,C0008031,37,37,37,1.0
U443,C0008031,36,35,35,0.9722222222222222
U691,C0030193,75,71,70,0.9210526315789473
U635,C0018989,27,26,26,0.9629629629629629
U180,C0237326,131,131,131,1.0
U779,C0010200,23,23,23,1.0
U382,C0015967,124,124,124,1.0
U430,C0018681,36,36,36,1.0
U40,C0022346,2,2,2,1.0
U382,C0011991,115,114,113,0.9741379310344828
U77,C0009421,53,22,22,0.41509433962264153
U526,C0013595,32,31,31,0.96875
U265,C0036572,542,516,510,0.9306569343065694
U505,C0237326,132,132,132,1.0
U6,C0009421,57,56,56,0.9824561403508771
U120,C0030193,77,77,77,1.0
U963,C0020429,78,77,77,0.9871794871794872
U693,C0020429,77,78,77,0.9871794871794872
U211,C0030193,72,71,71,0.9861111111111112
U202,C0030193,78,77,77,0.9871794871794872
U858,C0020429,78,78,78,1.0
U914,C0020429,75,67,67,0.8933333333333333
U58,C0020429,64,61,59,0.8939393939393939
U578,C0030193,78,77,77,0.9871794871794872
U363,C0013595,32,32,32,1.0
U971,C0000737,92,92,92,1.0
U10,C0009806,154,154,154,1.0
U247,C0231835,19,18,18,0.9473684210526315
U463,C0237326,131,131,131,1.0
U58,C0030193,63,60,58,0.8923076923076924
U360,C0042571,27,27,27,1.0
U670,C0000737,92,92,92,1.0
U54,C0042963,110,109,109,0.990909090909091
U670,C0042798,169,169,169,1.0
U206,C0030193,77,77,77,1.0
U372,C0015967,123,123,122,0.9838709677419355
U26,C0018681,36,36,36,1.0
U834,C0020429,54,54,54,1.0
U532,C0013595,32,32,32,1.0
U124,C0030193,70,67,66,0.9295774647887324
U296,C0020429,36,16,13,0.3333333333333333
U730,C0042963,110,110,110,1.0
U559,C0020429,78,77,77,0.9871794871794872
U196,C0023380,76,76,76,1.0
U195,C0036572,541,506,503,0.9246323529411765
U582,C0015967,123,124,123,0.9919354838709677
U767,C0010200,23,23,23,1.0
U171,C0030193,77,73,73,0.948051948051948
U697,C0030193,77,77,77,1.0
U24,C0030193,78,77,77,0.9871794871794872
U630,C0003862,89,89,89,1.0
U338,C0011991,114,113,113,0.9912280701754386
U162,C0012833,27,27,27,1.0
U496,C0013595,32,32,32,1.0
