Drug ID,Disease ID,P,P-P,P-P-P,P-GO-P,P-GO-GO-P,P-GO-P-P,P-P-GO-P,P-GO-GO-GO-P,P-GO-P-GO-P,P-P-GO-GO-P,P-P-P-GO-P,P-GO-GO-GO-GO-P,P-GO-GO-P-GO-P,P-GO-P-GO-GO-P,P-P-GO-P-GO-P,P-GO-GO-GO-GO-GO-P,P-GO-GO-GO-P-GO-P,P_Ratio,P-P_Ratio,P-P-P_Ratio,P-GO-P_Ratio,P-GO-GO-P_Ratio,P-GO-P-P_Ratio,P-P-GO-P_Ratio,P-GO-GO-GO-P_Ratio,P-GO-P-GO-P_Ratio,P-P-GO-GO-P_Ratio,P-P-P-GO-P_Ratio,P-GO-GO-GO-GO-P_Ratio,P-GO-GO-P-GO-P_Ratio,P-GO-P-GO-GO-P_Ratio,P-P-GO-P-GO-P_Ratio,P-GO-GO-GO-GO-GO-P_Ratio,P-GO-GO-GO-P-GO-P_Ratio
U544,C0010200,2,15,0,143,25,0,30,16,51,0,0,3,7,4,0,0,0,0.01,0.05,0,0.48,0.08,0,0.1,0.05,0.17,0,0,0.01,0.02,0.01,0,0,0
U95,C0010200,1,25,0,225,40,0,41,18,60,0,1,3,7,4,0,0,0,0.0,0.06,0,0.53,0.09,0,0.1,0.04,0.14,0,0.0,0.01,0.02,0.01,0,0,0
U680,C0030193,25,50,0,440,71,0,54,20,42,1,1,7,6,4,0,0,0,0.03,0.07,0,0.61,0.1,0,0.07,0.03,0.06,0.0,0.0,0.01,0.01,0.01,0,0,0
U335,C0011991,1,2,0,15,2,0,2,1,2,0,0,0,0,0,0,0,0,0.04,0.08,0,0.6,0.08,0,0.08,0.04,0.08,0,0,0,0,0,0,0,0
U784,C0009806,0,2,0,26,4,0,4,1,1,0,0,1,1,0,0,0,0,0,0.05,0,0.65,0.1,0,0.1,0.03,0.03,0,0,0.03,0.03,0,0,0,0
U43,C0018681,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0.4,0,0,0,0,0,0,0,0
U659,C0011991,0,1,0,44,8,0,4,4,4,0,0,1,0,0,0,0,0,0,0.02,0,0.67,0.12,0,0.06,0.06,0.06,0,0,0.02,0,0,0,0,0
U584,C0010200,1,0,0,13,3,0,2,0,0,0,0,2,2,2,0,0,0,0.04,0,0,0.52,0.12,0,0.08,0,0,0,0,0.08,0.08,0.08,0,0,0
U36,C0000737,4,19,0,143,13,0,15,8,13,0,0,0,1,0,0,0,0,0.02,0.09,0,0.66,0.06,0,0.07,0.04,0.06,0,0,0,0.0,0,0,0,0
U538,C0030193,8,11,0,54,8,0,5,4,7,0,0,1,1,1,0,0,0,0.08,0.11,0,0.54,0.08,0,0.05,0.04,0.07,0,0,0.01,0.01,0.01,0,0,0
U360,C0020429,26,32,0,282,51,0,24,12,21,0,0,1,1,1,0,0,0,0.06,0.07,0,0.63,0.11,0,0.05,0.03,0.05,0,0,0.0,0.0,0.0,0,0,0
U236,C0030193,8,11,0,97,18,0,11,1,5,0,0,1,2,1,0,0,0,0.05,0.07,0,0.63,0.12,0,0.07,0.01,0.03,0,0,0.01,0.01,0.01,0,0,0
U214,C0020429,14,3,0,57,8,0,3,3,4,0,0,1,2,1,0,0,0,0.15,0.03,0,0.59,0.08,0,0.03,0.03,0.04,0,0,0.01,0.02,0.01,0,0,0
U614,C0011991,1,1,0,14,2,0,1,3,3,0,0,0,0,0,0,0,0,0.04,0.04,0,0.56,0.08,0,0.04,0.12,0.12,0,0,0,0,0,0,0,0
U713,C0030193,4,9,0,40,8,0,6,2,5,0,0,0,0,0,0,0,0,0.05,0.12,0,0.54,0.11,0,0.08,0.03,0.07,0,0,0,0,0,0,0,0
U834,C0011991,0,1,0,24,3,0,1,2,3,0,0,0,0,0,0,0,0,0,0.03,0,0.71,0.09,0,0.03,0.06,0.09,0,0,0,0,0,0,0,0
U116,C0012833,0,1,0,8,2,0,1,1,5,0,0,1,1,0,0,0,0,0,0.05,0,0.4,0.1,0,0.05,0.05,0.25,0,0,0.05,0.05,0,0,0,0
U669,C0008031,9,34,0,274,39,1,51,21,56,1,0,0,1,0,0,0,0,0.02,0.07,0,0.56,0.08,0.0,0.1,0.04,0.11,0.0,0,0,0.0,0,0,0,0
U566,C0030193,4,11,0,122,12,0,12,3,8,0,0,0,0,0,0,0,0,0.02,0.06,0,0.71,0.07,0,0.07,0.02,0.05,0,0,0,0,0,0,0,0
U172,C0030193,1,1,0,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.79,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0
U76,C0237326,8,29,0,241,44,0,23,9,15,0,0,1,2,0,0,0,0,0.02,0.08,0,0.65,0.12,0,0.06,0.02,0.04,0,0,0.0,0.01,0,0,0,0
U86,C0030193,0,0,0,10,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.67,0.13,0,0.07,0,0,0,0,0.07,0.07,0,0,0,0
U260,C0020429,26,25,1,243,39,0,26,12,27,0,1,0,0,0,0,0,0,0.07,0.06,0.0,0.61,0.1,0,0.07,0.03,0.07,0,0.0,0,0,0,0,0,0
U953,C0020429,19,10,0,94,19,0,14,5,10,1,0,1,1,0,0,0,0,0.11,0.06,0,0.54,0.11,0,0.08,0.03,0.06,0.01,0,0.01,0.01,0,0,0,0
U83,C0032285,3,4,0,107,24,0,16,10,31,0,1,1,4,4,0,0,0,0.01,0.02,0,0.52,0.12,0,0.08,0.05,0.15,0,0.0,0.0,0.02,0.02,0,0,0
U858,C0023380,4,24,1,182,44,0,22,17,40,0,1,2,2,0,0,0,0,0.01,0.07,0.0,0.54,0.13,0,0.06,0.05,0.12,0,0.0,0.01,0.01,0,0,0,0
U488,C0020429,6,1,0,10,1,0,1,0,3,0,0,0,0,0,0,0,0,0.27,0.05,0,0.45,0.05,0,0.05,0,0.14,0,0,0,0,0,0,0,0
U867,C0030193,6,11,0,132,17,0,8,9,12,0,0,0,0,0,0,0,0,0.03,0.06,0,0.68,0.09,0,0.04,0.05,0.06,0,0,0,0,0,0,0,0
U52,C0013595,5,13,0,193,39,0,30,15,61,1,0,0,4,0,0,0,0,0.01,0.04,0,0.53,0.11,0,0.08,0.04,0.17,0.0,0,0,0.01,0,0,0,0
U874,C0013604,5,1,0,25,6,0,4,6,6,1,1,0,0,0,0,0,0,0.09,0.02,0,0.45,0.11,0,0.07,0.11,0.11,0.02,0.02,0,0,0,0,0,0
U875,C0010200,1,8,0,114,32,0,11,10,38,0,0,2,3,3,0,0,0,0.0,0.04,0,0.51,0.14,0,0.05,0.05,0.17,0,0,0.01,0.01,0.01,0,0,0
U560,C0020429,12,5,0,51,16,0,6,5,11,0,0,2,0,0,0,0,0,0.11,0.05,0,0.47,0.15,0,0.06,0.05,0.1,0,0,0.02,0,0,0,0,0
U513,C0030193,9,17,0,178,27,0,12,5,9,0,0,1,1,1,0,0,0,0.03,0.07,0,0.68,0.1,0,0.05,0.02,0.03,0,0,0.0,0.0,0.0,0,0,0
U594,C0020429,27,25,0,235,31,0,17,8,20,0,0,3,2,2,0,0,0,0.07,0.07,0,0.64,0.08,0,0.05,0.02,0.05,0,0,0.01,0.01,0.01,0,0,0
U614,C0030193,0,1,0,15,1,0,2,0,3,0,0,0,1,0,0,0,0,0,0.04,0,0.65,0.04,0,0.09,0,0.13,0,0,0,0.04,0,0,0,0
U351,C0013595,6,22,0,197,44,0,52,20,81,0,2,2,10,2,0,0,0,0.01,0.05,0,0.45,0.1,0,0.12,0.05,0.18,0,0.0,0.0,0.02,0.0,0,0,0
U765,C0018989,1,3,0,27,7,0,5,2,7,0,0,2,1,1,0,0,0,0.02,0.05,0,0.48,0.12,0,0.09,0.04,0.12,0,0,0.04,0.02,0.02,0,0,0
U230,C0700590,0,3,0,25,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0.08,0,0.66,0.08,0,0.08,0.05,0.05,0,0,0,0,0,0,0,0
U533,C0010200,0,2,0,29,4,0,5,2,7,0,0,1,2,1,0,0,0,0,0.04,0,0.55,0.08,0,0.09,0.04,0.13,0,0,0.02,0.04,0.02,0,0,0
U944,C0851578,1,7,0,65,23,0,20,6,39,0,0,0,3,1,0,0,0,0.01,0.04,0,0.39,0.14,0,0.12,0.04,0.24,0,0,0,0.02,0.01,0,0,0
U439,C0019825,0,0,0,15,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.75,0.1,0,0,0.1,0.05,0,0,0,0,0,0,0,0
U36,C0018681,7,23,0,127,11,0,13,6,27,0,0,0,1,0,0,0,0,0.03,0.11,0,0.59,0.05,0,0.06,0.03,0.13,0,0,0,0.0,0,0,0,0
U50,C0030193,10,31,0,168,22,0,22,11,14,0,0,3,3,2,0,0,0,0.03,0.11,0,0.59,0.08,0,0.08,0.04,0.05,0,0,0.01,0.01,0.01,0,0,0
U169,C0000737,0,2,0,26,6,0,1,1,2,0,0,0,0,0,0,0,0,0,0.05,0,0.68,0.16,0,0.03,0.03,0.05,0,0,0,0,0,0,0,0
U349,C0010200,2,31,0,304,63,0,43,19,73,0,0,4,6,4,0,0,0,0.0,0.06,0,0.55,0.11,0,0.08,0.03,0.13,0,0,0.01,0.01,0.01,0,0,0
U396,C0020429,26,27,0,272,49,0,33,18,35,0,0,4,1,1,0,0,0,0.06,0.06,0,0.58,0.11,0,0.07,0.04,0.08,0,0,0.01,0.0,0.0,0,0,0
U837,C0039070,0,0,0,15,6,0,2,1,9,0,0,1,1,0,0,0,0,0,0,0,0.43,0.17,0,0.06,0.03,0.26,0,0,0.03,0.03,0,0,0,0
U321,C0018681,2,0,0,12,0,0,1,1,2,0,0,0,1,0,0,0,0,0.11,0,0,0.63,0,0,0.05,0.05,0.11,0,0,0,0.05,0,0,0,0
U248,C0039070,0,0,0,13,7,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0.48,0.26,0,0.07,0,0.19,0,0,0,0,0,0,0,0
U607,C0000737,10,48,0,350,37,0,42,22,42,0,0,1,3,1,0,0,0,0.02,0.09,0,0.63,0.07,0,0.08,0.04,0.08,0,0,0.0,0.01,0.0,0,0,0
U959,C0010200,1,20,0,198,44,0,23,15,46,0,0,2,6,2,0,0,0,0.0,0.06,0,0.55,0.12,0,0.06,0.04,0.13,0,0,0.01,0.02,0.01,0,0,0
U135,C0851578,0,1,0,12,5,0,1,0,5,0,0,0,1,0,0,0,0,0,0.04,0,0.48,0.2,0,0.04,0,0.2,0,0,0,0.04,0,0,0,0
U5,C0000737,9,36,0,311,42,0,38,25,46,1,2,4,7,1,0,0,0,0.02,0.07,0,0.6,0.08,0,0.07,0.05,0.09,0.0,0.0,0.01,0.01,0.0,0,0,0
U590,C0042963,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.33,0,0,0,0,0,0,0,0,0,0,0,0
U803,C0015967,3,0,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.62,0.12,0,0.06,0,0,0,0,0,0,0,0,0,0
U627,C0020429,18,12,0,132,31,0,21,12,22,0,0,2,1,1,0,0,0,0.07,0.05,0,0.52,0.12,0,0.08,0.05,0.09,0,0,0.01,0.0,0.0,0,0,0
U859,C0020429,25,20,0,235,37,0,17,10,21,0,0,2,1,1,0,0,0,0.07,0.05,0,0.64,0.1,0,0.05,0.03,0.06,0,0,0.01,0.0,0.0,0,0,0
U826,C0000737,8,26,0,241,27,0,23,17,24,0,1,2,2,1,0,0,0,0.02,0.07,0,0.65,0.07,0,0.06,0.05,0.06,0,0.0,0.01,0.01,0.0,0,0,0
U841,C0012833,1,16,0,219,42,0,32,18,66,0,0,6,6,3,0,0,0,0.0,0.04,0,0.54,0.1,0,0.08,0.04,0.16,0,0,0.01,0.01,0.01,0,0,0
U463,C0009806,7,22,0,116,24,0,16,5,7,0,0,0,0,0,0,0,0,0.04,0.11,0,0.59,0.12,0,0.08,0.03,0.04,0,0,0,0,0,0,0,0
U872,C0030193,3,1,0,29,3,0,2,2,2,0,0,0,0,0,0,0,0,0.07,0.02,0,0.69,0.07,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0
U447,C0030193,4,4,0,64,6,0,4,2,3,0,0,0,0,0,0,0,0,0.05,0.05,0,0.74,0.07,0,0.05,0.02,0.03,0,0,0,0,0,0,0,0
U999,C0008031,6,31,0,291,35,1,48,19,60,0,0,1,1,1,0,0,0,0.01,0.06,0,0.59,0.07,0.0,0.1,0.04,0.12,0,0,0.0,0.0,0.0,0,0,0
U776,C0008031,3,18,0,159,17,0,32,11,40,0,0,0,1,0,0,0,0,0.01,0.06,0,0.57,0.06,0,0.11,0.04,0.14,0,0,0,0.0,0,0,0,0
U443,C0008031,3,7,0,114,9,0,17,9,22,0,0,1,0,0,0,0,0,0.02,0.04,0,0.63,0.05,0,0.09,0.05,0.12,0,0,0.01,0,0,0,0,0
U691,C0030193,5,5,0,62,6,0,3,1,1,0,0,1,1,1,0,0,0,0.06,0.06,0,0.72,0.07,0,0.03,0.01,0.01,0,0,0.01,0.01,0.01,0,0,0
U635,C0018989,0,1,0,22,4,0,2,3,2,0,0,0,0,0,0,0,0,0,0.03,0,0.65,0.12,0,0.06,0.09,0.06,0,0,0,0,0,0,0,0
U180,C0237326,3,13,0,131,25,0,12,6,11,0,0,0,0,0,0,0,0,0.01,0.06,0,0.65,0.12,0,0.06,0.03,0.05,0,0,0,0,0,0,0,0
U779,C0010200,2,16,0,133,27,0,24,12,39,1,1,3,5,3,0,0,0,0.01,0.06,0,0.5,0.1,0,0.09,0.05,0.15,0.0,0.0,0.01,0.02,0.01,0,0,0
U382,C0015967,25,31,0,340,36,0,43,16,21,0,1,0,0,0,0,0,0,0.05,0.06,0,0.66,0.07,0,0.08,0.03,0.04,0,0.0,0,0,0,0,0,0
U430,C0018681,6,20,0,157,21,0,25,6,24,0,1,2,1,0,0,0,0,0.02,0.08,0,0.6,0.08,0,0.1,0.02,0.09,0,0.0,0.01,0.0,0,0,0,0
U40,C0022346,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
U382,C0011991,8,32,0,315,67,0,44,21,29,0,1,0,0,0,0,0,0,0.02,0.06,0,0.61,0.13,0,0.09,0.04,0.06,0,0.0,0,0,0,0,0,0
U77,C0009421,0,1,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.7,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0
U526,C0013595,0,0,0,19,2,0,4,3,7,0,0,0,1,1,0,0,0,0,0,0,0.51,0.05,0,0.11,0.08,0.19,0,0,0,0.03,0.03,0,0,0
U265,C0036572,20,11,0,146,9,0,1,1,1,0,0,0,0,0,0,0,0,0.11,0.06,0,0.77,0.05,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0
U505,C0237326,13,46,0,382,75,0,55,19,34,0,0,4,4,1,0,0,0,0.02,0.07,0,0.6,0.12,0,0.09,0.03,0.05,0,0,0.01,0.01,0.0,0,0,0
U6,C0009421,0,13,0,81,17,0,7,6,17,0,0,2,2,1,0,0,0,0,0.09,0,0.55,0.12,0,0.05,0.04,0.12,0,0,0.01,0.01,0.01,0,0,0
U120,C0030193,10,18,1,96,19,0,12,6,12,0,0,0,1,0,0,0,0,0.06,0.1,0.01,0.55,0.11,0,0.07,0.03,0.07,0,0,0,0.01,0,0,0,0
U963,C0020429,27,29,0,285,47,0,38,22,39,0,0,5,1,1,1,0,0,0.05,0.06,0,0.58,0.09,0,0.08,0.04,0.08,0,0,0.01,0.0,0.0,0.0,0,0
U693,C0020429,7,7,0,71,16,0,10,4,14,1,0,2,2,1,0,0,0,0.05,0.05,0,0.53,0.12,0,0.07,0.03,0.1,0.01,0,0.01,0.01,0.01,0,0,0
U211,C0030193,2,4,0,59,5,0,2,3,4,0,0,1,1,1,0,0,0,0.02,0.05,0,0.72,0.06,0,0.02,0.04,0.05,0,0,0.01,0.01,0.01,0,0,0
U202,C0030193,15,31,0,298,40,0,23,8,19,0,0,2,1,1,0,0,0,0.03,0.07,0,0.68,0.09,0,0.05,0.02,0.04,0,0,0.0,0.0,0.0,0,0,0
U858,C0020429,24,17,0,188,40,0,21,11,28,1,1,1,0,0,0,0,0,0.07,0.05,0,0.57,0.12,0,0.06,0.03,0.08,0.0,0.0,0.0,0,0,0,0,0
U914,C0020429,11,1,0,46,9,0,3,3,4,0,0,0,0,0,0,0,0,0.14,0.01,0,0.6,0.12,0,0.04,0.04,0.05,0,0,0,0,0,0,0,0
U58,C0020429,4,1,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0.27,0.07,0,0.4,0.2,0,0.07,0,0,0,0,0,0,0,0,0,0
U578,C0030193,20,46,0,388,63,0,44,16,31,0,1,3,1,2,0,0,0,0.03,0.07,0,0.63,0.1,0,0.07,0.03,0.05,0,0.0,0.0,0.0,0.0,0,0,0
U363,C0013595,2,8,0,87,11,0,17,5,41,0,0,0,4,1,0,0,0,0.01,0.05,0,0.49,0.06,0,0.1,0.03,0.23,0,0,0,0.02,0.01,0,0,0
U971,C0000737,7,22,0,203,24,0,15,20,24,0,1,1,2,1,0,0,0,0.02,0.07,0,0.63,0.07,0,0.05,0.06,0.07,0,0.0,0.0,0.01,0.0,0,0,0
U10,C0009806,11,13,0,102,25,0,9,6,7,0,0,0,0,0,0,0,0,0.06,0.08,0,0.59,0.14,0,0.05,0.03,0.04,0,0,0,0,0,0,0,0
U247,C0231835,0,0,0,5,2,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0.38,0.15,0,0.15,0,0.23,0,0,0,0,0.08,0,0,0
U463,C0237326,1,20,0,115,23,0,22,6,11,0,0,0,0,0,0,0,0,0.01,0.1,0,0.58,0.12,0,0.11,0.03,0.06,0,0,0,0,0,0,0,0
