Drug ID,Disease ID,P,P-P,P-P-P,P-GO-P,P-GO-GO-P,P-GO-P-P,P-P-GO-P,P-GO-GO-GO-P,P-GO-P-GO-P,P-P-GO-GO-P,P-P-P-GO-P,P-GO-GO-GO-GO-P,P-GO-GO-P-GO-P,P-GO-P-GO-GO-P,P-P-GO-P-GO-P,P-GO-GO-GO-GO-GO-P,P-GO-GO-GO-P-GO-P,P_Ratio,P-P_Ratio,P-P-P_Ratio,P-GO-P_Ratio,P-GO-GO-P_Ratio,P-GO-P-P_Ratio,P-P-GO-P_Ratio,P-GO-GO-GO-P_Ratio,P-GO-P-GO-P_Ratio,P-P-GO-GO-P_Ratio,P-P-P-GO-P_Ratio,P-GO-GO-GO-GO-P_Ratio,P-GO-GO-P-GO-P_Ratio,P-GO-P-GO-GO-P_Ratio,P-P-GO-P-GO-P_Ratio,P-GO-GO-GO-GO-GO-P_Ratio,P-GO-GO-GO-P-GO-P_Ratio
U566,C0011991,2,9,0,116,25,0,12,3,5,0,0,0,0,0,0,0,0,0.01,0.05,0,0.67,0.15,0,0.07,0.02,0.03,0,0,0,0,0,0,0,0
U116,C0013604,0,1,0,14,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0.05,0,0.74,0.05,0,0.05,0,0,0,0,0.05,0.05,0,0,0,0
U447,C0237326,2,5,0,66,7,0,3,1,3,0,0,0,0,0,0,0,0,0.02,0.06,0,0.76,0.08,0,0.03,0.01,0.03,0,0,0,0,0,0,0,0
U86,C0018681,0,0,0,9,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0.6,0.07,0,0.07,0.13,0.13,0,0,0,0,0,0,0,0
U268,C0012833,1,13,0,180,34,0,35,10,52,0,0,5,7,2,0,0,0,0.0,0.04,0,0.53,0.1,0,0.1,0.03,0.15,0,0,0.01,0.02,0.01,0,0,0
U118,C0011991,11,33,0,284,62,0,36,21,29,1,0,1,0,0,0,0,0,0.02,0.07,0,0.59,0.13,0,0.08,0.04,0.06,0.0,0,0.0,0,0,0,0,0
U584,C0237326,0,1,0,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.86,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0
U58,C0011991,0,0,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0
U958,C0010200,0,1,0,13,2,0,3,4,7,0,0,0,0,0,0,0,0,0,0.03,0,0.43,0.07,0,0.1,0.13,0.23,0,0,0,0,0,0,0,0
U247,C0020429,5,1,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0.38,0.08,0,0.31,0.08,0,0.08,0,0.08,0,0,0,0,0,0,0,0
U195,C0020429,11,6,0,22,3,0,5,1,5,0,1,0,0,0,0,0,0,0.2,0.11,0,0.41,0.06,0,0.09,0.02,0.09,0,0.02,0,0,0,0,0,0
