node,type
ADH7,gene
ADHFE1,gene
ADI1,gene
ADIPOQ,gene
ADIPOR1,gene
ADIPOR2,gene
ADIRF,gene
ADK,gene
ADM,gene
ADM2,gene
ADM5,gene
ADNP,gene
ADNP2,gene
ADO,gene
ADORA1,gene
ADORA2A,gene
ADORA2B,gene
ADORA3,gene
ADPGK,gene
ADPRH,gene
ADPRHL1,gene
ADPRM,gene
ADPRS,gene
ADRA1A,gene
ADRA1B,gene
ADRA1D,gene
ADRA2A,gene
ADRA2B,gene
ADRA2C,gene
ADRB1,gene
ADRB2,gene
ADRB3,gene
ADRM1,gene
ADSL,gene
ADSS1,gene
ADSS2,gene
ADTRP,gene
AEBP1,gene
AEBP2,gene
AEN,gene
AFAP1,gene
AFAP1L1,gene
AFAP1L2,gene
AFDN,gene
AFF1,gene
AFF2,gene
AFF3,gene
AFF4,gene
AFG1L,gene
AFG3L2,gene
AFM,gene
AFMID,gene
AFP,gene
AFTPH,gene
AGA,gene
AGAP1,gene
AGAP2,gene
AGAP3,gene
AGAP4,gene
AGAP5,gene
AGAP6,gene
AGAP9,gene
AGBL1,gene
AGBL2,gene
AGBL3,gene
AGBL4,gene
AGBL5,gene
AGER,gene
AGFG1,gene
AGFG2,gene
AGGF1,gene
AGK,gene
AGL,gene
AGMAT,gene
AGMO,gene
AGO1,gene
AGO2,gene
AGO3,gene
AGO4,gene
AGPAT1,gene
AGPAT2,gene
AGPAT3,gene
AGPAT4,gene
AGPAT5,gene
AGPS,gene
AGR2,gene
AGR3,gene
AGRN,gene
AGRP,gene
AGT,gene
AGTPBP1,gene
AGTR1,gene
AGTR2,gene
AGTRAP,gene
AGXT,gene
AGXT2,gene
AHCTF1,gene
AHCY,gene
AHCYL1,gene
AHCYL2,gene
AHDC1,gene
AHI1,gene
AHNAK,gene
AHNAK2,gene
AHR,gene
AHRR,gene
AHSA1,gene
AHSG,gene
AHSP,gene
AICDA,gene
AIDA,gene
AIF1,gene
AIF1L,gene
AIFM1,gene
AIFM2,gene
AIFM3,gene
AIG1,gene
AIM2,gene
AIMP1,gene
AIMP2,gene
AIP,gene
AIPL1,gene
AIRE,gene
AJAP1,gene
AJM1,gene
AJUBA,gene
AK1,gene
AK2,gene
AK3,gene
AK4,gene
AK5,gene
AK6,gene
AK7,gene
AK8,gene
AK9,gene
AKAIN1,gene
AKAP1,gene
AKAP10,gene
AKAP11,gene
AKAP12,gene
AKAP13,gene
AKAP14,gene
AKAP17A,gene
AKAP3,gene
AKAP4,gene
AKAP5,gene
AKAP6,gene
AKAP7,gene
AKAP8,gene
AKAP8L,gene
AKAP9,gene
AKIP1,gene
AKIRIN1,gene
AKIRIN2,gene
AKNA,gene
AKNAD1,gene
AKR1A1,gene
AKR1B1,gene
AKR1B10,gene
AKR1B15,gene
AKR1C1,gene
AKR1C2,gene
AKR1C3,gene
AKR1C4,gene
AKR1C8,gene
AKR1D1,gene
AKR1E2,gene
AKR7A2,gene
AKR7A3,gene
AKR7L,gene
AKT1,gene
AKT1S1,gene
AKT2,gene
AKT3,gene
AKTIP,gene
ALAD,gene
ALAS1,gene
ALAS2,gene
ALB,gene
ALCAM,gene
ALDH16A1,gene
ALDH18A1,gene
ALDH1A1,gene
ALDH1A2,gene
ALDH1A3,gene
ALDH1B1,gene
ALDH1L1,gene
ALDH1L2,gene
ALDH2,gene
ALDH3A1,gene
ALDH3A2,gene
ALDH3B1,gene
ALDH3B2,gene
ALDH4A1,gene
ALDH5A1,gene
ALDH6A1,gene
ALDH7A1,gene
ALDH8A1,gene
ALDH9A1,gene
ALDOA,gene
ALDOB,gene
ALDOC,gene
ALG1,gene
ALG10,gene
ALG10B,gene
ALG11,gene
ALG12,gene
ALG13,gene
ALG14,gene
ALG1L,gene
ALG1L2,gene
ALG2,gene
ALG3,gene
ALG5,gene
ALG6,gene
ALG8,gene
ALG9,gene
ALK,gene
ALKAL1,gene
ALKAL2,gene
ALKBH1,gene
ALKBH2,gene
ALKBH3,gene
ALKBH4,gene
ALKBH5,gene
ALKBH6,gene
ALKBH7,gene
ALKBH8,gene
ALLC,gene
ALMS1,gene
ALOX12,gene
ALOX12B,gene
ALOX15,gene
ALOX15B,gene
ALOX5,gene
ALOX5AP,gene
ALOXE3,gene
ALPG,gene
ALPI,gene
ALPK1,gene
ALPK2,gene
ALPK3,gene
ALPL,gene
ALPP,gene
ALS2,gene
ALS2CL,gene
ALX1,gene
ALX3,gene
ALX4,gene
ALYREF,gene
AMACR,gene
AMBN,gene
AMBP,gene
AMBRA1,gene
AMD1,gene
AMDHD1,gene
AMDHD2,gene
AMELX,gene
AMELY,gene
AMER1,gene
AMER2,gene
AMER3,gene
AMFR,gene
AMH,gene
AMHR2,gene
AMIGO1,gene
