ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
artenimol,C039060,,FLNA,2316,protein,Homo sapiens,9606,artenimol analog binds to FLNA protein,affects^binding,26340163
artenimol,C039060,,FTO,79068,protein,Homo sapiens,9606,artenimol analog binds to FTO protein,affects^binding,26340163
artenimol,C039060,,G6PD,2539,protein,Homo sapiens,9606,artenimol analog binds to G6PD protein,affects^binding,26340163
artenimol,C039060,,GAPDH,2597,protein,Homo sapiens,9606,artenimol analog binds to GAPDH protein,affects^binding,26340163
artenimol,C039060,,GPI,2821,protein,Homo sapiens,9606,artenimol analog binds to GPI protein,affects^binding,26340163
artenimol,C039060,,HNRNPA2B1,3181,protein,Homo sapiens,9606,artenimol analog binds to HNRNPA2B1 protein,affects^binding,26340163
artenimol,C039060,,HNRNPD,3184,protein,Homo sapiens,9606,artenimol analog binds to HNRNPD protein,affects^binding,26340163
artenimol,C039060,,HNRNPK,3190,protein,Homo sapiens,9606,artenimol analog binds to HNRNPK protein,affects^binding,26340163
artenimol,C039060,,HP1BP3,50809,protein,Homo sapiens,9606,artenimol analog binds to HP1BP3 protein,affects^binding,26340163
artenimol,C039060,,HSPA8,3312,protein,Homo sapiens,9606,artenimol analog binds to HSPA8 protein,affects^binding,26340163
artenimol,C039060,,IQGAP1,8826,protein,Homo sapiens,9606,artenimol analog binds to IQGAP1 protein modified form,affects^binding,26340163
artenimol,C039060,,KEAP1,9817,protein,Homo sapiens,9606,artenimol analog binds to KEAP1 protein,affects^binding,26340163
artenimol,C039060,,KHSRP,8570,protein,Homo sapiens,9606,artenimol analog binds to KHSRP protein,affects^binding,26340163
artenimol,C039060,,LDHA,3939,protein,Homo sapiens,9606,artenimol analog binds to LDHA protein,affects^binding,26340163
artenimol,C039060,,LDHB,3945,protein,Homo sapiens,9606,artenimol analog binds to LDHB protein modified form,affects^binding,26340163
artenimol,C039060,,LGALS1,3956,protein,Homo sapiens,9606,artenimol analog binds to LGALS1 protein,affects^binding,26340163
artenimol,C039060,,MAP4,4134,protein,Homo sapiens,9606,artenimol analog binds to MAP4 protein modified form,affects^binding,26340163
artenimol,C039060,,MDH1,4190,protein,Homo sapiens,9606,artenimol analog binds to MDH1 protein,affects^binding,26340163
artenimol,C039060,,NPEPPS,9520,protein,Homo sapiens,9606,artenimol analog binds to NPEPPS protein modified form,affects^binding,26340163
artenimol,C039060,,NPM1,4869,protein,Homo sapiens,9606,artenimol analog binds to NPM1 protein,affects^binding,26340163
artenimol,C039060,,PFN1,5216,protein,Homo sapiens,9606,artenimol analog binds to PFN1 protein,affects^binding,26340163
