node_1,node_2_name
DB00129,GATM
DB00130,CTPS1
DB00130,PPAT
DB00130,GLUL
DB00131,PRKAA1
DB00131,PRKAA2
DB00131,PRKAB1
DB00131,PRKAB2
DB00131,PRKAG1
DB00131,PRKAG2
DB00131,PRKAG3
DB00131,ADK
DB00131,ACSS2
DB00131,ADCY1
DB00131,ACSL1
DB00131,CREB1
DB00131,PDE4B
DB00131,PYGL
DB00131,HINT1
DB00131,PDE4D
DB00131,FBP1
DB00132,FFAR1
DB00132,PTGS2
DB00132,FADS1
DB00132,FADS2
DB00132,TRPV1
DB00132,PPARA
DB00132,NR1H4
DB00132,PPARD
DB00132,PPARG
DB00132,RXRA
DB00132,ELOVL2
DB00132,ELOVL5
DB00132,SLC8A1
DB00136,VDR
DB00136,HOXA10
DB00138,SLC7A11
DB00138,CTNS
DB00139,ALDH5A1
DB00139,SUCNR1
DB00141,B4GALT1
DB00141,B4GALT4
DB00141,NAGK
DB00141,NAGPA
DB00141,NAGLU
DB00141,RENBP
DB00142,GRM1
DB00142,GRM4
DB00142,GRIK4
DB00142,GRIK5
DB00142,GRM7
DB00142,GRM8
DB00142,SLC1A7
DB00142,OPLAH
DB00142,PFAS
DB00142,BCAT2
DB00142,GRIN2D
DB00142,GLS
DB00142,GOT2
DB00142,EPRS1
DB00142,ASNS
DB00142,GLUL
DB00142,GOT1
DB00142,TAT
DB00142,GPT
DB00142,GGCX
DB00142,SLC1A3
DB00142,SLC1A2
DB00142,SLC1A1
DB00142,GCLC
DB00142,SLC1A6
DB00142,GLUD2
DB00142,GMPS
DB00142,BCAT1
DB00142,ABAT
DB00142,GRIN1
DB00142,FPGS
DB00142,ENPEP
DB00142,GRIN2A
DB00142,GRIN2B
DB00142,GRIN2C
DB00142,EARS2
DB00142,NADSYN1
DB00142,NAGS
DB00142,AADAT
DB00142,GRIN3A
DB00142,GPT2
DB00142,AASS
DB00142,GLS2
DB00142,DNPEP
DB00142,SLC7A11
DB00142,CPQ
DB00142,PSAT1
DB00142,GLUD1
DB00142,GRIK1
DB00142,GRIA1
DB00142,GCLM
DB00142,FOLH1
DB00142,GAD2
DB00142,GAD1
DB00142,FTCD
DB00142,GRIA2
DB00142,GRIA3
DB00142,GRIA4
DB00142,ALDH18A1
DB00142,GRIK2
DB00142,GRIK3
DB00143,AKR1B1
DB00143,MMP9
DB00143,CYP3A4
DB00143,GPX5
DB00143,GPX1
DB00143,GPX2
DB00143,GPX3
DB00143,GPX6
DB00143,GPX7
DB00143,GPX4
DB00143,GPX8
DB00143,GSR
DB00143,GSS
DB00143,GSTM1
DB00143,GSTK1
DB00143,GSTA3
DB00143,GSTM3
DB00143,GSTA4
DB00143,GSTM4
DB00143,GSTA5
DB00143,GSTP1
DB00143,GSTO1
DB00143,GSTT1
DB00143,GSTZ1
DB00143,GLO1
DB00143,LTC4S
DB00143,MGST3
DB00143,HPGDS
DB00143,GSTA1
DB00143,GSTA2
DB00143,MGST1
DB00143,ESD
DB00143,GGT1
DB00143,GSTM2
DB00143,GLRX
DB00143,GSTM5
DB00143,HAGH
DB00143,MGST2
DB00143,GSTO2
DB00143,GLRX2
DB00145,GRIN2A
DB00145,GCAT
DB00145,ALAS1
DB00145,ALAS2
DB00145,GARS1
DB00145,BAAT
DB00145,GPR18
DB00145,GSS
DB00145,GRIN2C
DB00145,GLYAT
DB00145,SHMT2
DB00145,GLYATL2
DB00145,GLYATL1
DB00145,AGXT2
DB00145,PIPOX
DB00145,GRIN3B
DB00145,GLRA1
DB00145,AGXT
DB00145,GLRB
DB00145,SHMT1
DB00145,GLRA3
DB00145,GLRA2
DB00145,GNMT
DB00145,GATM
DB00146,VDR
DB00148,CKM
DB00148,CKMT1B
DB00148,CKB
DB00148,CKMT2
DB00148,SLC6A8
DB00148,GAMT
DB00150,IDO1
DB00150,WARS1
DB00150,WARS2
DB00151,GCLM
DB00151,GCLC
DB00151,GOT1
DB00151,GOT2
DB00151,CTH
DB00151,LOC102724560
DB00151,CARS1
DB00151,MGMT
DB00151,GSS
DB00151,CARS2
DB00151,CSAD
DB00151,NFS1
DB00151,CDO1
DB00152,TPK1
DB00153,VDR
DB00153,CACNG1
DB00153,CACNG2
DB00153,CACNG3
DB00153,CACNG4
DB00153,CACNG5
DB00153,CACNG6
DB00153,CACNG7
DB00153,CACNG8
DB00153,CACNA2D1
DB00153,CACNA2D2
DB00153,CACNA2D3
DB00153,CACNA2D4
DB00153,CACNA1C
DB00153,CACNA1D
DB00153,CACNA1F
DB00153,CACNA1S
DB00153,CACNB1
DB00153,CACNB2
DB00153,CACNB3
DB00153,CACNB4
DB00153,CACNA1B
DB00153,CACNA1A
DB00153,CACNA1E
DB00153,CACNA1G
DB00153,CACNA1H
DB00153,CACNA1I
DB00157,MT-ND3
DB00157,UGDH
DB00157,ADH1A
DB00157,SORD
DB00157,ADH4
DB00157,ADH1C
DB00157,ADH1B
DB00157,ADH7
DB00157,GPD1
DB00157,LDHAL6A
DB00157,ADH5
DB00157,AKR1B1
DB00157,HSD17B10
DB00157,MDH2
DB00157,LDHA
DB00157,ME2
DB00157,HSD17B4
DB00157,LDHAL6B
DB00157,LDHC
DB00157,LDHB
DB00157,EHHADH
DB00157,HADH
DB00157,ME3
DB00157,BDH1
DB00157,MDH1
DB00157,HIBADH
DB00157,HSD17B3
DB00157,HMGCR
DB00157,ME1
DB00157,PHGDH
DB00157,HSD17B7
DB00157,IDH3G
DB00157,IDH3B
DB00157,IDH3A
DB00157,HSD17B1
DB00157,HSD17B2
DB00157,RDH5
DB00157,H6PD
DB00157,HSD17B8
DB00157,AKR1C4
DB00157,IMPDH2
DB00157,AKR1C3
DB00157,HPGD
DB00157,GFUS
DB00157,AKR1C1
DB00157,HSD11B1
DB00157,HSD3B2
DB00157,HSD3B1
DB00157,IMPDH1
DB00157,HADHA
DB00157,ALDH2
DB00157,HSD11B2
DB00157,AKR1C2
DB00157,NSDHL
DB00157,ALDH3B2
DB00157,ALDH6A1
DB00157,ALDH3A1
DB00157,ALDH1A1
DB00157,GAPDHS
DB00157,ALDH9A1
DB00157,ALDH1A3
DB00157,ALDH1B1
DB00157,ALDH3B1
DB00157,GAPDH
DB00157,ALDH1A2
DB00157,ALDH3A2
DB00157,ALDH5A1
DB00157,ALDH7A1
DB00157,BLVRB
DB00157,PYCR2
DB00157,PYCR1
DB00157,GLUD1
DB00157,PDHB
DB00157,PDHA2
DB00157,PDHA1
DB00157,BLVRA
DB00157,ACADS
DB00157,DHFR
DB00157,OGDH
DB00157,GLUD2
DB00157,DHCR7
DB00157,NQO2
DB00157,MT-ND2
DB00157,AASS
DB00157,NDUFS7
DB00157,MTHFD1
DB00157,MTHFD2
DB00157,ALDH4A1
DB00157,CYB5R3
DB00157,NDUFA11
DB00157,MT-ND4
DB00157,QDPR
DB00157,MT-ND1
DB00157,NNT
DB00157,NDUFA5
DB00157,NDUFA9
DB00157,MT-ND4L
DB00157,NDUFA10
DB00157,NDUFA7
DB00157,NDUFA1
DB00157,MT-ND6
DB00157,MT-ND5
DB00157,COXFA4
DB00157,NDUFA6
DB00157,NDUFAB1
DB00157,NDUFA2
DB00157,NDUFA8
DB00157,NDUFA3
DB00157,NDUFB8
DB00157,NDUFC2
DB00157,NDUFB1
DB00157,NDUFS1
DB00157,NDUFB10
DB00157,NDUFB4
DB00157,NDUFB3
DB00157,NDUFB2
DB00157,NDUFB7
DB00157,NDUFB9
DB00157,NDUFS2
DB00157,NDUFB5
DB00157,NDUFC1
DB00157,NDUFB6
DB00157,NDUFV3
DB00157,DLD
DB00157,NDUFS3
DB00157,GSR
DB00157,NDUFA12
DB00157,NDUFS5
DB00157,NDUFS4
DB00157,NDUFV1
DB00157,NDUFV2
DB00157,NDUFA13
DB00157,CDO1
DB00157,NDUFS6
DB00157,COXFA4L2
DB00157,NDUFS8
DB00157,CYP4A11
DB00157,DLAT
DB00157,AMT
DB00157,MSMO1
DB00157,HMOX1
DB00157,HMOX2
DB00157,CYP17A1
DB00157,TYR
DB00158,SLC46A1
DB00158,SLC19A1
DB00158,FOLR3
DB00158,FOLR2
DB00158,FOLR1
DB00159,PTGS2
DB00159,PTGS1
DB00159,PPARG
DB00159,PPARD
DB00159,FFAR1
DB00159,SLC8A1
DB00159,FABP7
DB00159,FADS1
DB00159,ACSL4
DB00159,TRPV1
DB00159,PPARA
DB00159,ALOX5
DB00161,PCCB
DB00161,BCAT1
DB00161,VARS1
DB00162,RXRG
DB00162,APOD
DB00162,PTGDS
DB00162,RDH12
DB00162,RDH5
DB00162,RDH13
DB00162,ALDH1A2
DB00162,ALDH1A1
DB00162,LRAT
DB00162,DHRS3
DB00162,ALDH1A3
DB00162,RETSAT
DB00162,RDH11
DB00162,DHRS4
DB00162,RDH14
DB00162,RDH8
DB00163,SEC14L4
DB00163,SEC14L3
DB00163,SEC14L2
DB00163,NR1I2
DB00163,PRKCB
DB00163,ALOX5
DB00163,PRKCA
DB00163,DGKA
DB00163,PPP2CB
DB00163,PPP2CA
DB00165,DDC
DB00165,PDXK
DB00169,VDR
DB00170,AOX1
DB00170,GGCX
DB00170,VKORC1
DB00170,VKORC1L1
DB00170,F2
DB00170,F9
DB00170,PROC
DB00170,PROS1
DB00170,NQO2
DB00170,NQO1
DB00170,BGLAP
DB00173,APRT
DB00173,MTAP
DB00173,ACACB
DB00173,ACP1
DB00173,PECR
DB00173,SRPK2
DB00174,SLC38A1
DB00174,SLC38A2
DB00174,SLC38A3
DB00174,SLC38A4
DB00174,SLC1A5
DB00174,ASNS
DB00174,NARS1
DB00174,ASRGL1
DB00174,NARS2
DB00175,HMGCR
DB00175,HDAC2
DB00176,SLC6A4
DB00176,KCNH2
DB00177,AGTR1
DB00178,ACE
DB00178,BDKRB1
DB00179,ALOX5
DB00179,ERBB2
DB00179,TRPM7
DB00179,SHBG
DB00180,NR3C1
DB00181,GABBR2
DB00181,CXCR4
DB00181,GABBR1
DB00182,SLC18A2
DB00182,SLC6A3
DB00182,CARTPT
DB00182,TAAR1
DB00182,MAOA
DB00182,MAOB
DB00182,SLC6A2
DB00182,ADRA1A
DB00182,ADRA1B
DB00182,ADRA1D
DB00182,ADRA2A
DB00182,ADRA2B
DB00182,ADRA2C
DB00182,ADRB1
DB00182,ADRB2
DB00182,ADRB3
DB00182,DRD2
DB00182,SLC6A4
DB00185,CHRM3
DB00185,CHRM1
DB00186,TSPO
DB00186,GABRA1
DB00186,GABRA2
DB00186,GABRA3
DB00186,GABRA4
DB00186,GABRA5
DB00186,GABRA6
DB00186,GABRB1
DB00186,GABRB2
DB00186,GABRB3
DB00186,GABRD
DB00186,GABRE
DB00186,GABRG1
DB00186,GABRG2
DB00186,GABRG3
DB00186,GABRP
DB00186,GABRQ
DB00187,ADRB1
DB00188,PSMB5
DB00188,PRSS1
DB00188,PSMB1
DB00189,GABRB2
DB00189,GABRA1
DB00189,GABRA2
DB00189,GABRA3
DB00189,GABRA4
DB00189,GABRA5
DB00189,GABRA6
DB00189,GABRB1
DB00189,GABRB3
DB00189,GABRD
DB00189,GABRE
DB00189,GABRG1
DB00189,GABRG2
DB00189,GABRG3
DB00189,GABRP
DB00189,GABRQ
DB00190,DDC
DB00191,SLC6A2
DB00191,SLC6A4
DB00191,SLC6A3
DB00191,MAOA
DB00191,MAOB
DB00191,NPY
DB00192,SCN5A
DB00193,OPRM1
DB00193,SLC6A2
DB00193,SLC6A4
DB00193,SCN2A
DB00193,GRIN1
DB00193,GRIN2A
DB00193,GRIN2B
DB00193,GRIN2C
DB00193,GRIN2D
DB00193,GRIN3A
DB00193,GRIN3B
DB00193,ADORA1
DB00193,ADRA2A
DB00193,ADRA2B
DB00193,ADRA2C
DB00193,HTR2C
DB00193,OPRK1
DB00193,OPRD1
DB00193,CHRNA7
DB00193,CHRM3
DB00193,CHRM1
DB00193,TACR1
DB00193,TRPV1
DB00195,ADRB1
DB00195,ADRB2
DB00199,MLNR
DB00199,KCNH2
DB00200,MTR
DB00200,MMUT
DB00200,MMAA
DB00200,TCN1
DB00200,AMN
DB00200,CUBN
DB00200,MMACHC
DB00201,ADORA1
DB00201,NT5E
DB00201,ADORA2A
DB00201,ADORA2B
DB00201,ADORA3
DB00201,PDE4D
DB00201,PDE3B
DB00201,PDE5A
DB00201,PDE1B
DB00201,PDE4B
DB00201,RYR1
DB00201,PDE4A
DB00201,PDE4C
DB00201,PDE7B
DB00201,PDE10A
DB00201,PDE2A
DB00201,PDE3A
DB00201,PDE6C
DB00201,PDE11A
DB00201,PDE1A
DB00201,PDE1C
DB00201,PDE7A
DB00201,PDE8A
DB00201,PDE8B
DB00201,PDE9A
DB00201,PDE6A
DB00201,PDE6B
DB00201,PRKDC
DB00201,PIK3CD
DB00201,PIK3CA
DB00201,PIK3CB
DB00201,ITPR1
DB00201,ITPR2
DB00201,ITPR3
DB00201,ATM
DB00203,SERPING1
DB00203,PDE5A
DB00203,PDE6G
DB00203,PDE6H
DB00203,ODC1
DB00203,CD274
DB00204,KCNH2
DB00204,KCNK2
DB00204,KCNJ12
DB00206,SLC18A2
DB00206,SLC18A1
DB00206,BIRC5
DB00207,PADI4
DB00208,PTAFR
DB00208,P2RY12
DB00209,CHRM5
DB00209,CHRM3
DB00209,CHRM1
DB00210,RARB
DB00210,RARG
DB00210,RXRB
DB00210,RXRG
DB00210,RXRA
DB00210,JUN
DB00210,TLR2
DB00210,RARA
DB00210,GOT1
DB00211,ADRA1A
DB00211,ADRA1B
DB00211,ADRA1D
DB00213,ATP4A
DB00213,ATP4B
DB00213,DDAH1
DB00214,SLC12A2
DB00214,SLC12A1
DB00215,SLC6A4
DB00215,HRH1
DB00216,HTR1D
DB00216,HTR1B
DB00216,HTR1F
DB00216,HTR1A
DB00218,TOP2A
DB00218,PON1
DB00221,ADRB1
DB00221,ADRB2
DB00222,ABCC9
DB00222,KCNJ11
DB00222,KCNJ1
DB00222,ABCC8
DB00223,PLA2G1B
DB00223,NR3C1
DB00226,SLC6A2
DB00227,HMGCR
DB00227,ITGAL
DB00227,HDAC2
DB00228,GABRA1
DB00228,GABRA2
DB00228,GABRA3
DB00228,GABRA4
DB00228,GABRA5
DB00228,GABRA6
DB00228,GABRB1
DB00228,GABRB2
DB00228,GABRB3
DB00228,GABRD
DB00228,GABRE
DB00228,GABRG1
DB00228,GABRG2
DB00228,GABRG3
DB00228,GABRP
DB00228,GABRQ
DB00228,CACNG1
DB00228,CACNG2
DB00228,CACNG3
DB00228,CACNG4
DB00228,CACNG5
DB00228,CACNG6
DB00228,CACNG7
DB00228,CACNG8
DB00228,CACNA2D1
DB00228,CACNA2D2
DB00228,CACNA2D3
DB00228,CACNA2D4
DB00228,CACNA1C
DB00228,CACNA1D
DB00228,CACNA1F
DB00228,CACNA1S
DB00228,CACNB1
DB00228,CACNB2
DB00228,CACNB3
DB00228,CACNB4
DB00228,CACNA1B
DB00228,CACNA1A
DB00228,CACNA1E
DB00228,CACNA1G
DB00228,CACNA1H
DB00228,CACNA1I
DB00228,GLRA1
DB00228,KCND1
DB00228,KCND2
DB00228,KCND3
DB00228,KCNS1
DB00228,KCNS3
DB00228,KCNA1
DB00228,KCNA10
DB00228,KCNA2
DB00228,KCNA3
DB00228,KCNA4
DB00228,KCNA5
DB00228,KCNA6
DB00228,KCNB1
DB00228,KCNB2
DB00228,KCNE1
DB00228,KCNE2
DB00228,KCNE3
DB00228,KCNE4
DB00228,KCNE5
DB00228,KCNQ1
DB00228,KCNQ2
DB00228,KCNQ3
DB00228,KCNQ4
DB00228,KCNQ5
DB00228,KCNV1
DB00228,KCNV2
DB00228,KCNH1
DB00228,KCNH4
DB00228,KCNH5
DB00228,KCNH8
DB00228,KCNH2
DB00228,KCNH3
DB00228,KCNH6
DB00228,KCNH7
DB00228,KCNC1
DB00228,KCNC2
DB00228,KCNC3
DB00228,KCNC4
DB00228,KCNF1
DB00228,KCNG1
DB00228,KCNG2
DB00228,KCNG3
DB00228,KCNG4
DB00228,KCNAB1
DB00228,KCNAB2
DB00228,ATP2C1
DB00228,GRIN1
DB00228,GRIN2A
DB00228,GRIN2B
DB00228,GRIN2C
DB00228,GRIN2D
DB00228,GRIN3A
DB00228,GRIN3B
DB00228,ATP2A1
DB00230,CACNA2D1
DB00231,TSPO
DB00231,GABRA1
DB00231,GABRA2
DB00231,GABRA3
DB00231,GABRA4
DB00231,GABRA5
DB00231,GABRA6
DB00231,GABRB1
DB00231,GABRB2
DB00231,GABRB3
DB00231,GABRD
DB00231,GABRE
DB00231,GABRG1
DB00231,GABRG2
DB00231,GABRG3
DB00231,GABRP
DB00231,GABRQ
DB00233,PTGS1
DB00233,DHFR
DB00233,PTGS2
DB00233,CHUK
DB00233,ALOX5
DB00233,PLA2G2E
DB00234,SLC6A2
DB00235,PDE3A
DB00237,GABRA1
DB00237,GABRA2
DB00237,GABRA3
DB00237,GABRA4
DB00237,GABRA5
DB00237,GABRA6
DB00237,GABRB1
DB00237,GABRB2
DB00237,GABRB3
DB00237,GABRD
DB00237,GABRE
DB00237,GABRG1
DB00237,GABRG2
DB00237,GABRG3
DB00237,GABRP
DB00237,GABRQ
DB00237,CHRNA10
DB00237,CHRNA2
DB00237,CHRNA3
DB00237,CHRNA4
DB00237,CHRNA5
DB00237,CHRNA6
DB00237,CHRNA7
DB00237,CHRNA9
DB00237,CHRNB2
DB00237,CHRNB3
DB00237,CHRNB4
DB00237,GRIA1
DB00237,GRIA2
DB00237,GRIA3
DB00237,GRIA4
DB00237,GRIK1
DB00237,GRIK2
DB00237,GRIK3
DB00237,GRIK4
DB00237,GRIK5
DB00240,SERPINA6
DB00240,NR3C1
DB00241,GABRA2
DB00241,GABRA3
DB00241,GABRA4
DB00241,GABRA5
DB00241,GABRA6
DB00241,GABRA1
DB00241,GABRB1
DB00241,GABRB2
DB00241,GABRB3
DB00241,GABRD
DB00241,GABRE
DB00241,GABRG1
DB00241,GABRG2
DB00241,GABRG3
DB00241,GABRP
DB00241,GABRQ
DB00241,CHRNA4
DB00241,CHRNA7
DB00241,GRIA2
DB00241,GRIK2
DB00242,RRM1
DB00242,ADA
DB00242,RRM2
DB00242,RRM2B
DB00242,POLA1
DB00242,POLE
DB00242,POLE2
DB00242,POLE3
DB00242,POLE4
DB00242,PNP
DB00242,PARP1
DB00243,PLG
DB00243,SCN1A
DB00243,SCN10A
DB00243,SCN11A
DB00243,SCN2A
DB00243,SCN3A
DB00243,SCN4A
DB00243,SCN5A
DB00243,SCN7A
DB00243,SCN8A
DB00243,SCN9A
DB00243,SCN1B
DB00243,SCN2B
DB00243,SCN3B
DB00243,SCN4B
DB00243,KCNJ12
DB00243,KCNJ14
DB00243,KCNJ2
DB00243,KCNJ4
DB00243,CACNA1C
DB00243,CACNA1D
DB00243,CACNA1F
DB00243,CACNA1S
DB00243,CACNB1
DB00243,CACNB2
DB00243,CACNB3
DB00243,CACNB4
DB00243,ADRA1A
DB00243,ADRA1B
DB00243,ADRA1D
DB00243,ADRB1
DB00244,PTGS2
DB00244,PTGS1
DB00244,ALOX5
DB00244,PPARG
DB00244,CHUK
DB00244,IKBKB
DB00244,NOS2
DB00245,CHRM1
DB00245,SLC6A3
DB00245,HRH1
DB00245,SLC6A4
DB00245,SLC6A2
DB00246,DRD2
DB00246,CHRNA7
DB00246,HTR2A
DB00246,HTR1A
DB00246,HTR1D
DB00246,HTR2C
DB00246,DRD1
DB00246,DRD5
DB00246,DRD3
DB00246,DRD4
DB00246,HTR1B
DB00246,HTR1E
DB00246,HTR6
DB00246,HTR7
DB00246,HRH1
DB00246,ADRA1A
DB00246,ADRA1B
DB00246,ADRA2A
DB00246,ADRA2B
DB00246,ADRA2C
DB00246,CHRM1
DB00246,CHRM2
DB00246,CHRM3
DB00246,CHRM4
DB00246,CHRM5
DB00246,HTR3A
DB00246,HTR3B
DB00246,HTR3C
DB00246,HTR3D
DB00246,HTR3E
DB00246,HTR5A
DB00247,HTR2B
DB00247,HTR2C
DB00247,HTR2A
DB00247,HTR1A
DB00247,HTR7
DB00247,HTR1B
DB00247,HTR1F
DB00247,HTR1E
DB00248,DRD2
DB00248,HTR2B
DB00248,DRD3
DB00248,HTR2A
DB00248,ADRA2B
DB00248,HTR1D
DB00248,DRD4
DB00248,ADRA2A
DB00248,HTR1A
DB00248,ADRA2C
DB00248,DRD5
DB00248,DRD1
DB00248,HTR1B
DB00248,HTR2C
DB00248,HTR7
DB00248,ADRA1A
DB00248,ADRA1B
DB00248,ADRA1D
DB00248,ADRB1
DB00248,ADRB2
DB00252,SCN5A
DB00252,SCN1A
DB00252,KCNH2
DB00252,CACNA1C
DB00252,CACNA1D
DB00252,CACNA1F
DB00252,CACNA1S
DB00252,CACNB1
DB00252,CACNB2
DB00252,CACNB3
DB00252,CACNB4
DB00252,CACNA1A
DB00252,SCN2A
DB00252,SCN8A
DB00252,NR1I2
DB00252,SCN1B
DB00252,SCN3A
DB00252,GABRA1
DB00252,GABRA2
DB00252,GABRA3
DB00252,GABRA4
DB00252,GABRA5
DB00252,GABRA6
DB00252,GABRB1
DB00252,GABRB2
DB00252,GABRB3
DB00252,GABRD
DB00252,GABRE
DB00252,GABRG1
DB00252,GABRG2
DB00252,GABRG3
DB00252,GABRP
DB00252,GABRQ
DB00253,ESRRA
DB00253,ESRRB
DB00253,ESRRG
DB00253,NR3C1
DB00255,ESR2
DB00255,ESR1
DB00255,ESRRG
DB00255,ESRRA
DB00255,ESRRB
DB00255,NCOA2
DB00255,NR1I2
DB00255,AR
DB00255,SHBG
DB00261,PDE3A
DB00262,GSR
DB00264,ADRB1
DB00264,ADRB2
DB00264,ADRB3
DB00266,VKORC1
DB00266,NQO1
DB00266,CRYZ
DB00268,DRD3
DB00268,DRD2
DB00268,DRD4
DB00268,ADRA1A
DB00268,ADRA1B
DB00268,ADRA1D
DB00268,ADRA2A
DB00268,ADRA2B
DB00268,ADRA2C
DB00270,CACNA1C
DB00270,CACNA2D1
DB00270,CACNB2
DB00270,CACNA1H
DB00270,CACNA2D2
DB00270,CACNA1D
DB00270,CACNA1S
DB00273,GRIK1
DB00273,GABRA1
DB00273,SCN1A
DB00273,SCN10A
DB00273,SCN11A
DB00273,SCN2A
DB00273,SCN3A
DB00273,SCN4A
DB00273,SCN5A
DB00273,SCN7A
DB00273,SCN8A
DB00273,SCN9A
DB00273,GRIK2
DB00273,GRIK3
DB00273,GRIK4
DB00273,GRIK5
DB00273,CA2
DB00273,CA4
DB00273,CACNA1C
DB00273,CACNA1D
DB00273,CACNA1F
DB00273,CACNA1S
DB00273,CACNB1
DB00273,CACNB2
DB00273,CACNB3
DB00273,CACNB4
DB00273,CA1
DB00273,CA3
DB00273,CACNA1E
DB00275,AGTR1
DB00276,TOP2B
DB00276,TOP2A
DB00276,KCNH2
DB00276,ORM1
DB00276,ALB
DB00277,ADORA1
DB00277,NT5E
DB00277,ADORA2A
DB00277,ADORA2B
DB00277,PDE4B
DB00277,PDE5A
DB00277,PDE4A
DB00277,PDE3A
DB00277,HDAC2
DB00277,CPNE1
DB00277,HM13
DB00277,NOMO1
DB00277,PARP1
DB00277,RIC3
DB00277,TTLL3
DB00279,THRA
DB00279,THRB
DB00279,PCNA
DB00280,SCN5A
DB00280,CHRM1
DB00280,CHRM2
DB00280,CHRM3
DB00280,KCND2
DB00280,KCND3
DB00280,KCNH2
DB00280,ORM2
DB00281,SCN11A
DB00281,SCN10A
DB00281,SCN9A
DB00281,SCN5A
DB00281,EGFR
DB00281,SCN4A
DB00281,ORM1
DB00281,ORM2
DB00282,FDPS
DB00282,GGPS1
DB00282,CASP3
DB00282,CASP9
DB00283,HRH1
DB00284,MGAM
DB00284,SI
DB00284,AMY2A
DB00284,GAA
DB00285,SLC6A4
DB00285,SLC6A2
DB00285,SLC6A3
DB00286,ESR2
DB00286,ESR1
DB00287,PTGFR
DB00288,ESRRA
DB00288,ESRRB
DB00288,ESRRG
DB00288,NR3C1
DB00288,ANXA1
DB00289,SLC6A2
DB00289,SLC6A4
DB00289,GRIN1
DB00289,GRIN2A
DB00289,GRIN2B
DB00289,GRIN2C
DB00289,GRIN2D
DB00289,GRIN3A
DB00289,GRIN3B
DB00289,KCNJ3
DB00289,OPRK1
DB00290,LIG1
DB00290,LIG3
DB00292,GABRG3
DB00292,GABRA1
DB00292,ADRA2B
DB00292,GABRA2
DB00292,GABRA3
DB00292,GABRA4
DB00292,GABRA5
DB00292,GABRA6
DB00292,GABRB1
DB00292,GABRB2
DB00292,GABRB3
DB00292,GABRD
DB00292,GABRE
DB00292,GABRG1
DB00292,GABRG2
DB00292,GABRP
DB00292,GABRQ
DB00293,TYMS
DB00293,FPGS
DB00295,OPRM1
DB00295,OPRK1
DB00295,OPRD1
DB00295,LY96
DB00297,SCN10A
DB00297,PTGER1
DB00298,DRD2
DB00298,ADRA1A
DB00298,ADRA1D
DB00298,ADRA1B
DB00302,PLG
DB00304,PGR
DB00304,ESR1
DB00306,GABRA2
DB00306,GABRG3
DB00306,GABRA3
DB00306,GABRA4
DB00306,GABRA5
DB00306,GABRA6
DB00306,GABRA1
DB00306,GABRB1
DB00306,GABRB2
DB00306,GABRB3
DB00306,GABRD
DB00306,GABRE
DB00306,GABRG1
DB00306,GABRG2
DB00306,GABRP
DB00306,GABRQ
DB00306,CHRNA4
DB00306,CHRNA7
DB00306,GRIA2
DB00306,GRIK2
DB00307,RXRA
DB00307,RXRB
DB00307,RXRG
DB00308,CACNA1C
DB00308,CACNB1
DB00308,KCNH2
DB00308,CACNA2D1
DB00308,CACNG1
DB00308,KCNK1
DB00308,KCNK6
DB00308,KCNH6
DB00308,KCNH7
DB00308,KCNJ11
DB00309,TUBB1
DB00310,CA1
DB00310,SLC12A1
DB00312,GABRA1
DB00312,GABRA2
DB00312,GABRA3
DB00312,GABRA4
DB00312,GABRA5
DB00312,GABRA6
DB00312,GABRB1
DB00312,GABRB2
DB00312,GABRB3
DB00312,GABRD
DB00312,GABRE
DB00312,GABRG1
DB00312,GABRG2
DB00312,GABRG3
DB00312,GABRP
DB00312,GABRQ
DB00312,CHRNA4
DB00312,CHRNA7
DB00312,GRIA2
DB00312,GRIK2
DB00312,GRIN1
DB00312,GRIN2A
DB00312,GRIN2B
DB00312,GRIN2C
DB00312,GRIN2D
DB00312,GRIN3A
DB00312,GRIN3B
DB00312,NR1I2
DB00313,ABAT
DB00313,GSK3A
DB00313,HDAC9
DB00313,ACADSB
DB00313,OGDH
DB00313,ALDH5A1
DB00313,SCN1A
DB00313,SCN10A
DB00313,SCN11A
DB00313,SCN2A
DB00313,SCN3A
DB00313,SCN4A
DB00313,SCN5A
DB00313,SCN7A
DB00313,SCN8A
DB00313,SCN9A
DB00313,SCN1B
DB00313,SCN2B
DB00313,SCN3B
DB00313,SCN4B
DB00313,HDAC2
DB00313,PPARA
DB00313,PPARD
DB00313,PPARG
DB00313,HDAC1
DB00313,HDAC11
DB00313,HDAC3
DB00313,HDAC4
DB00313,HDAC5
DB00313,HDAC6
DB00313,HDAC7
DB00313,HDAC8
DB00313,HDAC10
DB00313,CDKN1A
DB00313,HGF
DB00313,ODC1
DB00313,CD274
DB00315,HTR1B
DB00315,HTR1D
DB00315,HTR1F
DB00315,HTR1E
DB00315,HTR7
DB00315,HTR1A
DB00315,HTR2A
DB00315,HTR2B
DB00316,PTGS2
DB00316,SLC6A4
DB00316,SLC6A2
DB00316,PTGS1
DB00316,PTGES3
DB00316,TRPV1
DB00317,EGFR
DB00318,OPRM1
DB00318,OPRK1
DB00318,OPRD1
DB00320,HTR1B
DB00320,HTR1D
DB00320,HTR1F
DB00320,DRD2
DB00320,ADRA2A
DB00320,HTR1A
DB00320,HTR1E
DB00320,HTR2A
DB00320,HTR2B
DB00320,HTR2C
DB00320,ADRA1A
DB00320,ADRA1B
