node_1,node_2_name
DB09286,HTR2A
DB12163,HTR2A
DB09304,HTR2A
L-Arginine,NOS3
DB00125,NOS3
DB00155,NOS3
L-Citrulline,NOS3
benztropine-mesylate,SLC6A3
spiperone,ADRA1B
DB09229,ADRA1B
DB08922,ADRA1B
DB01622,ADRA1B
DB09286,ADRA1B
DB00463,GABRB3
DB00546,GABRB3
DB11582,GABRB3
DB04552,PLA2G4A
ACT-132577,EDNRA
SN-38,TOP1
DB04967,TOP1
DB00853,MGMT
DB01352,GRIA2
DB00463,GRIA2
DB01483,GRIA2
DB01356,GRIA3
DB00463,GRIK5
DB01483,GRIK5
fludarabine-phosphate,DCK
DB12598,F10
DB00117,SLC38A3
DB00254,B2M
DB08873,CTSK
fenigam,GABBR2
meldonium,BBOX1
DB00212,REN
DB00787,PPY
tebipenem,PCDHA4
DB00311,CA12
DB04665,CA12
DB04216,PIM1
DB02709,SLC2A1
sodium-tetradecyl-sulfate,PROC
DB02709,ITGA5
DB05266,PDE4A
DB09283,PDE4A
DB08811,PDE4A
DB09273,PDE4A
DB02709,ITGB3
DB04866,MMP2
DB12598,KLK1
adiphenine,CHRNA1
L-Arginine,NOS2
DB00125,NOS2
DB00155,NOS2
L-Citrulline,NOS2
hydrocortisone-phosphate,NOS2
DB08941,ADRB2
DB01295,ADRB2
clorprenaline,ADRB2
DB00127,ADRB2
DB00866,ADRB2
DB08807,ADRB2
DB12248,ADRB2
DB09273,ADRB2
DB08808,ADRB2
DB08957,ADRB2
DB01408,ADRB2
carazolol,ADRB2
DB00866,ADRB3
DB08807,ADRB3
DB09204,ADRB3
DB08808,ADRB3
carazolol,ADRB3
DB12863,ELANE
DB01279,PLIN3
DB04942,RARB
camostat-mesilate,PRSS1
DB12831,PRSS1
DB12598,PRSS1
hyaluronic-acid,ICAM1
DB12598,ICAM1
ethanolamine-oleate,F12
DB12598,F12
DB04894,SSTR2
DB00155,OTC
L-Citrulline,OTC
DB00127,SMOX
DB04967,APEX1
DB09221,IL3
DB01839,F13A1
acefylline,ADORA1
etofylline,ADORA1
DB09273,ADORA1
DB01412,ADORA1
spiperone,DRD1
DB08839,DRD1
DB01622,DRD1
DB09286,DRD1
DB11696,MME
mozavaptan,AVPR2
desmopressin-acetate,AVPR2
DB01349,AGTR1
DB09279,AGTR1
DB13919,AGTR1
DB08873,CTSS
DB02709,MTNR1A
butorphanol-(+)-tartrate,OPRM1
DB09289,OPRM1
DB02901,HSD17B1
DB01411,IL5
DB04552,PLA2G1B
DB11582,GLRB
spiperone,HTR1A
DB08810,HTR1A
DB00866,HTR1A
DB08922,HTR1A
flopropione,HTR1A
DB09244,HTR1A
DB08807,HTR1A
DB09000,HTR1A
DB12478,HTR1A
DB09289,HTR1A
DB12833,HTR1A
DB08839,HTR1A
DB01622,HTR1A
DB09286,HTR1A
DB09304,HTR1A
spiperone,HTR1D
DB08839,HTR1D
DB09286,HTR1D
DB09304,HTR1D
icatibant-acetate,BDKRB2
mozavaptan,AVPR1A
DB00093,AVPR1A
desmopressin-acetate,AVPR1A
mozavaptan,AVPR1B
desmopressin-acetate,AVPR1B
hyaluronic-acid,NCAN
DB06211,DPEP1
DB12831,TPSAB1
DB01411,MUC2
DB00043,MS4A2
DB00254,MMP8
