Drug,gene_num_total,gene_num_in_graph
DB08911,2,2
DB08912,5,5
DB08918,2,2
DB08931,2,2
DB08932,2,2
DB08935,1,1
DB08936,1,1
DB08995,1,1
DB09016,3,3
DB09026,1,1
DB09029,1,1
DB09030,1,1
DB09033,2,2
DB09034,2,2
DB09035,2,2
DB09036,1,1
DB09037,2,2
DB09038,1,1
DB09039,1,1
DB09043,1,1
DB09045,1,1
DB09046,1,1
DB09047,1,1
DB09048,1,1
DB09049,1,1
DB09053,1,1
DB09054,1,1
DB09059,4,4
DB09064,1,1
DB09067,2,2
DB09068,7,7
DB09069,1,1
DB09070,1,1
DB09074,4,4
DB09075,1,1
DB09076,5,5
DB09078,10,10
DB09079,12,12
DB09080,1,1
DB09082,1,1
DB09083,1,1
DB09085,12,12
DB09089,26,26
DB09090,1,1
DB09091,2,2
DB09097,3,3
DB09099,7,7
DB09107,1,1
DB09108,1,1
DB09109,3,3
DB09118,18,18
DB09119,1,1
DB09121,3,3
DB09123,2,2
DB09126,1,1
DB09128,12,12
DB09131,2,2
DB09140,2,2
DB09143,1,1
DB09167,16,16
DB09185,13,13
DB09205,6,6
DB09212,2,2
DB09213,12,12
DB09220,1,1
DB09225,8,8
DB09228,7,7
DB09241,2,2
DB09258,3,3
DB09265,1,1
DB09270,2,2
DB09272,3,3
DB09280,1,1
DB09282,1,1
DB09292,1,1
DB09301,4,4
DB09302,1,1
DB09310,1,1
DB09331,1,1
DB09332,7,7
DB09343,1,1
DB09351,1,1
DB09371,3,3
DB09389,3,3
DB09401,3,3
DB09418,1,1
DB09462,11,11
DB09477,2,2
DB09481,7,7
DB09488,1,1
DB09517,3,3
DB09526,4,4
DB09555,1,1
DB09559,1,1
DB09564,3,3
DB09568,6,6
DB11059,1,1
DB11071,2,2
DB11081,1,1
DB11085,5,5
DB11130,3,3
DB11131,1,1
DB11136,1,1
DB11157,3,3
DB11166,2,2
DB11181,5,5
DB11235,6,6
DB11273,25,25
DB11274,6,6
DB11362,1,1
DB11363,1,1
DB11560,2,2
DB11571,8,8
DB11572,5,5
DB11581,1,1
DB11591,1,1
DB11595,2,2
DB11598,1,1
DB11614,2,2
DB11619,6,6
DB11629,7,7
DB11632,1,1
DB11635,1,1
DB11656,1,1
DB11660,1,1
DB11699,1,1
DB11712,1,1
DB11757,2,2
DB11767,6,6
DB11817,4,4
DB11827,1,1
DB11834,1,1
DB11988,1,1
DB11994,12,11
DB11995,1,1
DB12010,302,301
DB12023,2,2
DB12095,2,2
DB12159,3,3
DB12243,1,1
DB12278,7,7
DB12364,1,1
DB12483,4,4
DB12523,1,1
DB12554,1,1
DB12783,1,1
DB12865,1,1
DB13152,7,7
DB13167,1,1
DB13179,1,1
DB13345,30,30
DB13783,2,2
DB13873,6,6
DB13928,1,1
DB13933,3,3
DB13943,3,3
DB13954,10,10
DB13996,1,1
DB13999,11,11
DB14006,7,7
