Drug,gene_num_total,gene_num_in_graph
DB00017,1,1
DB00020,5,5
DB00022,2,2
DB00024,1,1
DB00025,11,11
DB00026,1,1
DB00028,10,10
DB00029,3,3
DB00030,6,6
DB00031,1,1
DB00032,2,2
DB00033,2,2
DB00034,2,2
DB00035,4,4
DB00036,2,2
DB00038,1,1
DB00039,3,3
DB00040,3,3
DB00041,3,3
DB00042,3,3
DB00044,1,1
DB00046,2,2
DB00047,2,2
DB00048,3,3
DB00051,1,1
DB00052,2,2
DB00054,5,5
DB00055,10,10
DB00056,4,4
DB00060,2,2
DB00063,3,3
DB00065,1,1
DB00066,1,1
DB00067,4,4
DB00068,2,2
DB00069,2,2
DB00070,1,1
DB00071,2,2
DB00072,1,1
DB00073,1,1
DB00075,5,5
DB00078,1,1
DB00081,2,2
DB00082,1,1
DB00083,2,2
DB00086,2,2
DB00087,7,7
DB00091,5,5
DB00092,3,3
DB00094,1,1
DB00095,2,2
DB00097,2,2
DB00099,1,1
DB00100,7,7
DB00102,3,3
DB00104,1,1
DB00105,3,3
DB00106,1,1
DB00107,4,4
DB00108,4,4
DB00110,8,8
DB00112,9,9
DB00114,52,52
DB00115,6,6
DB00118,8,8
DB00119,15,15
DB00120,7,7
DB00121,8,8
DB00122,9,9
DB00123,5,5
DB00126,23,23
DB00128,21,21
DB00129,10,10
DB00130,3,3
DB00131,17,17
DB00132,13,13
DB00136,2,2
DB00138,2,2
DB00139,2,2
DB00141,6,6
DB00142,61,61
DB00143,40,40
DB00145,24,23
DB00146,1,1
DB00148,6,6
DB00150,3,3
DB00151,13,13
DB00152,1,1
DB00153,27,27
DB00157,144,142
DB00158,5,5
DB00159,12,12
DB00161,3,3
DB00162,16,16
DB00163,10,10
DB00165,2,2
DB00169,1,1
DB00170,11,11
DB00173,6,6
DB00174,9,9
DB00175,2,2
DB00176,2,2
DB00177,1,1
DB00178,2,2
DB00179,4,4
DB00180,1,1
DB00181,3,3
DB00182,18,18
DB00185,2,2
DB00186,17,17
DB00187,1,1
DB00188,3,3
DB00189,16,16
DB00190,1,1
DB00191,6,6
DB00192,1,1
DB00193,23,23
DB00195,2,2
DB00199,2,2
DB00200,7,7
DB00201,35,35
DB00203,6,6
DB00204,3,3
DB00206,3,3
DB00207,1,1
DB00208,2,2
DB00209,3,3
DB00210,9,9
DB00211,3,3
DB00213,3,3
DB00214,2,2
DB00215,2,2
DB00216,4,4
DB00218,2,2
DB00221,2,2
DB00222,4,4
DB00223,2,2
DB00226,1,1
DB00227,3,3
DB00228,97,97
DB00230,1,1
DB00231,17,17
DB00233,6,6
DB00234,1,1
DB00235,1,1
DB00237,36,36
DB00240,2,2
DB00241,20,20
DB00242,11,11
DB00243,31,31
DB00244,7,7
DB00245,5,5
DB00246,31,31
DB00247,8,8
DB00248,20,20
DB00252,33,33
DB00253,4,4
DB00255,9,9
DB00261,1,1
DB00262,1,1
DB00264,3,3
DB00266,3,3
DB00268,9,9
DB00270,7,7
DB00273,29,29
DB00275,1,1
DB00276,5,5
DB00277,15,15
DB00279,3,3
DB00280,8,8
DB00281,8,8
DB00282,4,4
DB00283,1,1
DB00284,4,4
DB00285,3,3
DB00286,2,2
DB00287,1,1
DB00288,5,5
DB00289,11,11
DB00290,2,2
DB00292,17,17
DB00293,2,2
DB00295,4,4
DB00297,2,2
DB00298,4,4
DB00302,1,1
DB00304,2,2
DB00306,20,20
DB00307,3,3
DB00308,10,10
DB00309,1,1
DB00310,2,2
DB00312,28,28
DB00313,37,37
DB00315,8,8
DB00316,6,6
DB00317,1,1
DB00318,3,3
DB00320,19,19
DB00321,33,33
DB00322,1,1
DB00323,1,1
DB00324,1,1
DB00325,3,3
DB00327,3,3
DB00328,10,10
DB00331,5,5
DB00332,3,3
DB00334,31,31
DB00335,2,2
DB00337,3,3
