Drug,gene_num_total,gene_num_in_graph
U869,78,78
U870,3,3
U871,337,337
U879,42,42
U872,40,40
U877,3,3
U873,89,89
U874,50,50
U866,188,188
U867,188,188
U95,402,402
U875,210,210
U876,30,30
U44,127,127
U882,313,313
U103,171,171
U880,254,254
U314,394,394
U884,369,369
U241,23,23
U887,169,169
U890,81,81
U96,115,115
U260,389,389
U1025,238,238
U891,59,59
U98,71,71
U895,235,235
U894,160,160
U897,49,49
U898,21,21
U900,70,70
U903,13,13
U902,1,1
U901,140,140
U906,76,76
U905,350,350
U908,422,422
U909,359,359
U911,1,1
U912,217,217
U913,304,304
U918,373,373
U915,268,268
U914,74,74
U921,89,89
U920,66,66
U922,34,34
U363,171,171
U340,190,190
U919,99,99
U968,238,238
U101,74,74
U923,22,22
U102,201,201
U929,278,278
U924,56,56
U930,93,93
U928,217,217
U925,26,26
U926,17,17
U927,17,17
U931,77,77
U182,5,5
U932,4,4
U934,307,307
U935,18,18
U571,44,44
U937,256,256
U941,81,81
U938,51,51
U942,5,5
U945,61,61
U944,158,158
U939,51,51
U104,122,122
U950,50,50
U6,138,138
U885,23,23
U947,54,54
U951,542,542
U952,43,43
U955,14,14
U956,82,82
U953,168,168
U958,26,26
U963,473,473
U964,36,36
U961,95,95
U959,338,338
U110,433,433
U962,69,69
U967,1,1
U966,140,140
U970,104,104
U971,301,301
U107,80,80
U973,42,42
U977,271,271
U151,269,269
U974,12,12
U108,205,205
U983,75,75
U984,75,75
U982,140,140
U985,263,263
U7,13,13
U988,1,1
U989,2,2
U990,256,256
U991,1,1
U112,109,109
U998,486,486
U994,230,230
U308,296,296
U113,371,371
U996,51,51
U1002,41,41
U1007,17,17
U1008,17,17
U238,80,80
U114,341,341
U1013,68,68
U1009,17,17
U1015,27,27
U116,18,18
U1010,4,4
U1004,32,32
U1005,4,4
U1012,14,14
U161,58,58
U1006,58,58
U1022,50,50
U115,63,63
U1023,12,12
U155,548,548
U1026,1662,1662
U1027,295,295
U1031,98,98
U1032,146,146
U1034,135,135
U1038,74,74
U1039,74,74
U1040,1,1
U1041,10,10
U1042,24,24
U1043,34,34
U121,10,10
U168,20,20
U196,150,150
U10,168,168
U201,432,432
U899,351,351
U118,465,465
U124,41,41
U122,37,37
U335,24,24
U119,2,2
U125,239,239
U11,161,161
U126,105,105
U120,170,170
U12,1,1
U127,10,10
U129,310,310
U128,334,334
U619,63,63
U131,1,1
U134,133,133
U132,17,17
U133,248,248
U135,25,25
U136,70,70
U8,35,35
U138,8,8
U140,30,30
U143,32,32
U144,1,1
U145,5,5
U147,432,432
U148,106,106
U149,46,46
U150,551,551
U159,51,51
U160,334,334
U3,3,3
U157,8,8
U158,1,1
U162,587,587
U164,414,414
U163,54,54
U165,78,78
U166,98,98
U170,344,344
U171,113,113
U172,19,19
U173,16,16
U175,386,386
U177,386,386
U178,59,59
U179,254,254
U180,195,195
U1019,15,15
U183,32,32
U184,144,144
U185,402,402
U186,21,21
U188,295,295
U187,1,1
U189,244,244
U190,244,244
U192,20,20
U193,1,1
U194,1,1
U14,349,349
U195,53,53
U200,36,36
U197,5,5
U198,13,13
U199,14,14
U202,428,428
U206,268,268
U204,400,400
U208,7,7
U212,43,43
U210,52,52
U211,78,78
U207,418,418
U214,91,91
U215,1,1
U213,1,1
U216,118,118
U217,468,468
U236,152,152
U220,29,29
U225,35,35
U228,42,42
U222,24,24
U223,156,156
U221,1,1
U230,37,37
U231,266,266
U232,266,266
U224,50,50
U4,12,12
U18,545,545
U235,63,63
U237,15,15
U243,99,99
U240,2,2
U234,53,53
U45,373,373
U292,6,6
U293,1,1
U339,257,257
U262,216,216
U245,1,1
U251,126,126
U512,17,17
U246,3,3
U247,13,13
U19,24,24
U248,27,27
U249,25,25
U255,64,64
U257,26,26
U263,216,216
U266,21,21
U265,188,188
U269,105,105
U271,266,266
U273,1,1
U274,272,272
U275,267,267
U276,315,315
U20,311,311
U583,33,33
U21,56,56
U280,54,54
U282,395,395
U398,193,193
U284,36,36
U285,97,97
U286,62,62
U287,367,367
U288,6,6
U289,3,3
U23,50,50
U296,2,2
U297,92,92
U294,1,1
U302,245,245
U303,90,90
U699,43,43
U309,55,55
U310,528,528
U313,30,30
U312,70,70
U311,529,529
U305,279,279
U68,1,1
U315,16,16
U317,37,37
U318,14,14
U319,237,237
U320,7,7
U322,284,284
U26,317,317
U323,127,127
U324,67,67
U331,27,27
U321,18,18
U332,62,62
U27,28,28
U336,15,15
U333,65,65
U347,2,2
U30,26,26
U348,304,304
U338,284,284
U346,287,287
U343,59,59
U344,4,4
U917,237,237
U341,237,237
U342,26,26
U32,144,144
U349,526,526
U351,418,418
U352,1,1
U33,355,355
U353,177,177
U358,368,368
U359,438,438
U360,438,438
U361,438,438
U362,438,438
U364,12,12
U365,17,17
U366,159,159
U367,12,12
U369,571,571
U34,18,18
U373,242,242
U374,287,287
