# ChemicalName,chemicalID,CasRN,DiseaseName,diseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
06-Paris-LA-66 protocol,C046983,,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,therapeutic,,,,4519131
"10,11-dihydro-10-hydroxycarbamazepine",C039775,,Epilepsy,MESH:D004827,therapeutic,,,,17516704
10-hydroxycamptothecin,C028098,67656-30-8,Huntington Disease,MESH:D006816,therapeutic,,,,21909362
10-hydroxycamptothecin,C028098,67656-30-8,Liver Neoplasms,MESH:D008113,therapeutic,,,,16603448
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,Leukemia,MESH:D007938,therapeutic,,,,20833157
10-nitro-oleic acid,C521487,,Triple Negative Breast Neoplasms,MESH:D064726,therapeutic,,,,29158255
10-propargyl-10-deazaaminopterin,C418863,,"Lymphoma, Non-Hodgkin",MESH:D008228,therapeutic,,,,16467107
10-propargyl-10-deazaaminopterin,C418863,,"Lymphoma, T-Cell",MESH:D016399,therapeutic,,,,21301589
"1,10-diaminodecane",C065351,,Seizures,MESH:D012640,therapeutic,,,,9641557
"1-(1'-(2-methylbenzyl)-1,4'-bipiperidin-4-yl)-1H-benzo(d)imidazol-2-(3H)-one",C532626,,Cocaine-Related Disorders,MESH:D019970,therapeutic,,,,19996296
"11-(2-pyrrolidin-1-ylethoxy)-14,19-dioxa-5,7,26-triazatetracyclo(19.3.1.1(2,6).1(8,12))heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene",C561234,,Lymphoma,MESH:D008223,therapeutic,,,,21604762
"11-(2-pyrrolidin-1-ylethoxy)-14,19-dioxa-5,7,26-triazatetracyclo(19.3.1.1(2,6).1(8,12))heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene",C561234,,Primary Myelofibrosis,MESH:D055728,therapeutic,,,,21604762
"1-(1,3-benzodioxol-5-ylcarbonyl)piperidine",C085415,34023-62-6,Hyperkinesis,MESH:D006948,therapeutic,,,,9286612
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Movement Disorders,MESH:D009069,therapeutic,,,,30472438
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Poisoning,MESH:D011041,therapeutic,,,,30472438
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Acute Lung Injury,MESH:D055371,therapeutic,,,,24963491
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Cardiomyopathies,MESH:D009202,therapeutic,,,,31220554
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Colitis,MESH:D003092,therapeutic,,,,22119709
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Extravasation of Diagnostic and Therapeutic Materials,MESH:D005119,therapeutic,,,,22442067
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Fibrosis,MESH:D005355,therapeutic,,,,31220554
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Hyperalgesia,MESH:D006930,therapeutic,,,,29143802
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Hyperglycemia,MESH:D006943,therapeutic,,,,32949586
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Insulin Resistance,MESH:D007333,therapeutic,,,,32949586
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Pulmonary Edema,MESH:D011654,therapeutic,,,,24963491
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Weight Gain,MESH:D015430,therapeutic,,,,32949586
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Weight Loss,MESH:D015431,therapeutic,,,,22119709
11-keto-boswellic acid,C447943,,"Carcinoma, Ehrlich Tumor",MESH:D002286,therapeutic,,,,21056033
11-keto-boswellic acid,C447943,,Myocardial Reperfusion Injury,MESH:D015428,therapeutic,,,,23771412
11-keto-boswellic acid,C447943,,Sarcoma 180,MESH:D012510,therapeutic,,,,21056033
1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,,Cardiomegaly,MESH:D006332,therapeutic,,,,21383588
1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,,Seizures,MESH:D012640,therapeutic,,,,25448683
"1-(1-methylethyl)-4-((1-(6-(trifluoromethyl)-3-pyridinyl)-4-piperidinyl)carbonyl)hexahydro-1H-1,4-diazepine",C519817,,Amnesia,MESH:D000647,therapeutic,,,,17276409
"1-(1-methylethyl)-4-((1-(6-(trifluoromethyl)-3-pyridinyl)-4-piperidinyl)carbonyl)hexahydro-1H-1,4-diazepine",C519817,,Hyperalgesia,MESH:D006930,therapeutic,,,,17276409
1-(1-naphthyl)piperazine,C048241,57536-86-4,Feeding and Eating Disorders,MESH:D001068,therapeutic,,,,8223940
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,"Arthritis, Experimental",MESH:D001169,therapeutic,,,,18508045
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681,therapeutic,,,,19878665
1-(2-((1-ethoxycarbonyloxyethoxycarbonylmethyl)carbamoyl)-3-phenylpropyldisulfanylmethyl)-3-methylsulfanylpropylamine,C534222,,Hyperalgesia,MESH:D006930,therapeutic,,,,18938155
1-(2-(2-thienyl)-2-adamantyl) morpholine,C508955,,Seizures,MESH:D012640,therapeutic,,,,16167315
"1,2,3,4,8,9,10,10a-octahydro-7bH-cyclopenta(b)(1,4)diazepino(6,7,1hj)indole",C501656,,Hyperkinesis,MESH:D006948,therapeutic,,,,19347958
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,C063159,130495-35-1,Hyperalgesia,MESH:D006930,therapeutic,,,,22466128
"1,2,3,4-tetrahydroisoquinoline",C014843,,Substance Withdrawal Syndrome,MESH:D013375,therapeutic,,,,18840427
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Brain Infarction,MESH:D020520,therapeutic,,,,19435785
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Hyperplasia,MESH:D006965,therapeutic,,,,28694203
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Hypertension,MESH:D006973,therapeutic,,,,15699457
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Pulmonary Edema,MESH:D011654,therapeutic,,,,28694203
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Pulmonary Fibrosis,MESH:D011658,therapeutic,,,,28694203
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Weight Loss,MESH:D015431,therapeutic,,,,28694203
"1-(2,3-dichlorobenzoyl)-5-methoxy-2-methyl-(2-(mopholin-4-yl)ethyl)-1H-indole",C463040,,Hyperalgesia,MESH:D006930,therapeutic,,,,28592614
"1-(2,3-dichlorobenzoyl)-5-methoxy-2-methyl-(2-(mopholin-4-yl)ethyl)-1H-indole",C463040,,Pancreatic Neoplasms,MESH:D010190,therapeutic,,,,21525939
"1-(2,3-dihydro-1,4-benzodioxin-5-yl)-4-((5-(4-fluorophenyl)-3-pyridinyl)methyl)piperazine",C504317,,Catalepsy,MESH:D002375,therapeutic,,,,15996562
"1,2,4-triazole",C045575,288-88-0,Chemical and Drug Induced Liver Injury,MESH:D056486,therapeutic,,,,28693887
"1,2,4-triazolo(1,5-c)pyrimidine",C494034,,Catalepsy,MESH:D002375,therapeutic,,,,19109019
"1,25-dihydroxy-16-ene-vitamin D3",C087630,124409-58-1,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681,therapeutic,,,,7988477
"1,25-dihydroxy-24-oxo-16-ene-vitamin D3",C090785,,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681,therapeutic,,,,7988477
"1,25-dihydroxyergocalciferol",C003564,55248-15-2,Postoperative Complications,MESH:D011183,therapeutic,,,,9798688
"1,25-dihydroxyvitamin D",C097949,66772-14-3,Kidney Diseases,MESH:D007674,therapeutic,,,,19594554
"1,25-dihydroxyvitamin D",C097949,66772-14-3,Proteinuria,MESH:D011507,therapeutic,,,,19594554
"1,25-dihydroxyvitamin D",C097949,66772-14-3,Rickets,MESH:D012279,therapeutic,,,,15818308
12-acetoxyhawtriwaic acid lactone,C513234,,Dermatitis,MESH:D003872,therapeutic,,,,18670081
12-acetoxyhawtriwaic acid lactone,C513234,,Edema,MESH:D004487,therapeutic,,,,16636964|18670081
12-acetoxyhawtriwaic acid lactone,C513234,,"Hypersensitivity, Delayed",MESH:D006968,therapeutic,,,,18670081
12-acetoxyhawtriwaic acid lactone,C513234,,Inflammation,MESH:D007249,therapeutic,,,,18670081
12-acetoxyhawtriwaic acid lactone,C513234,,Neurogenic Inflammation,MESH:D020078,therapeutic,,,,16636964
"1-(2-amino-2-carboxyethyl)-3-(2-carboxybenzyl)pyrimidine-2,4-dione",C509618,,Status Epilepticus,MESH:D013226,therapeutic,,,,25689173
1-(2-amino-3-methyl-butyryl)-azetidine-2-carbonitrile,C503634,,Hyperkinesis,MESH:D006948,therapeutic,,,,15925329
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,therapeutic,,,,18791180
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,"Mercury Poisoning, Nervous System",MESH:D020262,therapeutic,,,,18597911
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Necrosis,MESH:D009336,therapeutic,,,,15254339|17323976|18597911
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Ventricular Fibrillation,MESH:D014693,therapeutic,,,,8238564
(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate),C461261,,Amphetamine-Related Disorders,MESH:D019969,therapeutic,,,,12105088
(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate),C461261,,Essential Tremor,MESH:D020329,therapeutic,,,,19497322
"1,2-bis(methylsulfonyl)-1--(2-chloroethyl)-2-((1-(4-nitrophenyl)ethoxy)carbonyl)hydrazine",C118156,,Breast Neoplasms,MESH:D001943,therapeutic,,,,21955333
"1,2-bis(methylsulfonyl)-1--(2-chloroethyl)-2-((1-(4-nitrophenyl)ethoxy)carbonyl)hydrazine",C118156,,Carcinoma,MESH:D002277,therapeutic,,,,21955333
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,,Hypertension,MESH:D006973,therapeutic,,,,27678262
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,,Vascular Remodeling,MESH:D066253,therapeutic,,,,27678262
"1-(2-chlorobenzyl)-5'-phenyl-3'H-spiro(indoline-3,2'-(1,3,4)thiadiazol)-2-one",C569107,,Neoplasm Invasiveness,MESH:D009361,therapeutic,,,,23826121
1-(2-chloroethyl)-1-nitrosourea,C017139,2365-30-2,Glioblastoma,MESH:D005909,therapeutic,,,,18089819
1-(2-chloroethyl)-1-nitrosourea,C017139,2365-30-2,Melanoma,MESH:D008545,therapeutic,,,,16557598
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Acute Lung Injury,MESH:D055371,therapeutic,,,,35247504
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Chemical and Drug Induced Liver Injury,MESH:D056486,therapeutic,,,,18417483|19371629
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,"Liver Neoplasms, Experimental",MESH:D008114,therapeutic,,,,21361338
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Multiple Myeloma,MESH:D009101,therapeutic,,,,15070698
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Neoplasms,MESH:D009369,therapeutic,,,,21361338
"1-(2-deoxy-beta-L-erythropentafuranosyl)-5-methyl-2,4(1H)-pyrimidinone",C487780,40093-94-5,Hepatitis B,MESH:D006509,therapeutic,,,,16152756
"1,2-dichloroethylene",C035384,540-59-0,"Micronuclei, Chromosome-Defective",MESH:D048629,therapeutic,,,,32199159
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Necrosis,MESH:D009336,therapeutic,,,,19728331
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Pulmonary Fibrosis,MESH:D011658,therapeutic,,,,21439370
"1-((2-dimethylamino)ethylamino)-4-(2-(3-hydroxymethylpiperidin-1-yl)ethylamino)-5,8-dihydroxyanthracene-9,10-dione",C505980,,Ovarian Neoplasms,MESH:D010051,therapeutic,,,,16220985
"1,2-Dipalmitoylphosphatidylcholine",D015060,2644-64-6,Kidney Diseases,MESH:D007674,therapeutic,,,,1929286
"1,2-Dipalmitoylphosphatidylcholine",D015060,2644-64-6,Pain,MESH:D010146,therapeutic,,,,10910861|8778746
"1,2-Dipalmitoylphosphatidylcholine",D015060,2644-64-6,"Reflex, Abnormal",MESH:D012021,therapeutic,,,,10910861
"1-(2-fluorophenyl)-3-(2-(morpholin-2-yl)ethyl)-1,3-dihydro-2,1,3-benzothiadiazole 2,2-dioxide",C568514,,Pain,MESH:D010146,therapeutic,,,,21916421
1-(2-hydroxy-1-phenylethyl)-3-(4-(pyridin-4-yl)phenyl)urea,C552258,,"Arthritis, Experimental",MESH:D001169,therapeutic,,,,20710117
1-(2-hydroxy-1-phenylethyl)-3-(4-(pyridin-4-yl)phenyl)urea,C552258,,Diabetic Neuropathies,MESH:D003929,therapeutic,,,,20710117
"1,2-linoleoylphosphatidylcholine",C002448,6542-05-8,Learning Disabilities,MESH:D007859,therapeutic,,,,19100751
"1,2-linoleoylphosphatidylcholine",C002448,6542-05-8,Memory Disorders,MESH:D008569,therapeutic,,,,19100751
1-(2-methoxyphenyl)-4-(4-(2-phthalimido)butyl)piperazine,C058895,115338-32-4,Amnesia,MESH:D000647,therapeutic,,,,17369909
1-(2-methoxyphenyl)-4-(4-(2-phthalimido)butyl)piperazine,C058895,115338-32-4,Hyperkinesis,MESH:D006948,therapeutic,,,,15213358
"1-(2-methoxy-phenyl)-4-(4-(4-(6-imidazol(2,1-b) thiazolyl)-phenoxy)-butyl-4-(14)C)-piperazine dimethane",C427703,,Amnesia,MESH:D000647,therapeutic,,,,15619116
"1-(2-methoxy-phenyl)-4-(4-(4-(6-imidazol(2,1-b) thiazolyl)-phenoxy)-butyl-4-(14)C)-piperazine dimethane",C427703,,Learning Disabilities,MESH:D007859,therapeutic,,,,15619116
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,,Amphetamine-Related Disorders,MESH:D019969,therapeutic,,,,19737591
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,,Binge-Eating Disorder,MESH:D056912,therapeutic,,,,26589243
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,,Cocaine-Related Disorders,MESH:D019970,therapeutic,,,,19591850
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,,"Dyskinesia, Drug-Induced",MESH:D004409,therapeutic,,,,19737591
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,,Fatty Liver,MESH:D005234,therapeutic,,,,27071101
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,,Hepatomegaly,MESH:D006529,therapeutic,,,,27071101
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,,Hyperphagia,MESH:D006963,therapeutic,,,,27071101
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,,Obesity,MESH:D009765,therapeutic,,,,27071101
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,,Substance Withdrawal Syndrome,MESH:D013375,therapeutic,,,,19656173|20667500|22590628
1-(2-phenethyl)-4-(2-pyridyl)piperazine,C519696,,Seizures,MESH:D012640,therapeutic,,,,17241657
1-(2-trifluoromethylphenyl)imidazole,C098186,25371-96-4,Seizures,MESH:D012640,therapeutic,,,,9222532
1-(2-trifluoromethylphenyl)imidazole,C098186,25371-96-4,Status Epilepticus,MESH:D013226,therapeutic,,,,9222532
1-(2-(tris(4-methoxyphenyl)methoxy)ethyl)-3-piperidinecarboxylic acid,C092337,,Sleep Wake Disorders,MESH:D012893,therapeutic,,,,21396773
130-nm albumin-bound paclitaxel,C520255,,Breast Neoplasms,MESH:D001943,therapeutic,,,,19637953
"13,17,21-trimethyldocosa-12,16,20-trien-11-one",C509503,,Macular Degeneration,MESH:D008268,therapeutic,,,,16411761
1-(3-(2-(1-benzothiophen-5-yl) ethoxy) propyl)-3-azetidinol maleate,C503102,,Alzheimer Disease,MESH:D000544,therapeutic,,,,18573265
1-(3-(2-(1-benzothiophen-5-yl) ethoxy) propyl)-3-azetidinol maleate,C503102,,Nervous System Diseases,MESH:D009422,therapeutic,,,,18573265
1-(3-(2-(1-benzothiophen-5-yl) ethoxy) propyl)-3-azetidinol maleate,C503102,,Parkinson Disease,MESH:D010300,therapeutic,,,,18573265
"1-(3-(4-(3-chlorophenyl)-1-piperazinyl)propyl)-3,4-dihydro-5-methoxy-2(1H)-quinolinone",C404207,,Learning Disabilities,MESH:D007859,therapeutic,,,,11907181
"1-(3-(4-(3-chlorophenyl)-1-piperazinyl)propyl)-3,4-dihydro-5-methoxy-2(1H)-quinolinone",C404207,,Memory Disorders,MESH:D008569,therapeutic,,,,11907181
"1-(3',4',5'-trimethoxyphenyl)-3-(3'',4''-dimethoxy-2'-hydroxyphenyl)propane",C552420,,"Carcinoma, Hepatocellular",MESH:D006528,therapeutic,,,,20674558
"1-(3,4-dichlorophenyl)-3-azabicyclo-(3.1.0)hexane hydrochloride",C474071,,Depressive Disorder,MESH:D003866,therapeutic,,,,21446715|21739935
"1-(3,4-dichlorophenyl)-3-azabicyclo-(3.1.0)hexane hydrochloride",C474071,,"Disease Models, Animal",MESH:D004195,therapeutic,,,,21446715
"1-(3,4-dihydro-6,7-dimethoxy-2(1H)-isoquinolinyl)-3,3-dimethyl-2-((4-pyridinylmethyl)amino)-1-butanone",C572065,,Hypothermia,MESH:D007035,therapeutic,,,,26799708
"1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one",C000603962,,Reperfusion Injury,MESH:D015427,therapeutic,,,,28063877
"1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one",C000603962,,Retinal Diseases,MESH:D012164,therapeutic,,,,28063877
"1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one",C000603962,,Sepsis,MESH:D018805,therapeutic,,,,28063877
"1,3,5,6-tetrahydroxyxanthone",C528657,,Stomach Ulcer,MESH:D013276,therapeutic,,,,27545833
"1,3,7,9-tetramethyluric acid",C077059,,"Liver Cirrhosis, Experimental",MESH:D008106,therapeutic,,,,35872049
"1,3-benzenediamidoethanethiol",C473336,,Mercury Poisoning,MESH:D008630,therapeutic,,,,22573916
"1,3-benzothiazol-2-yl(2-((2-(3-pyridinyl)ethyl)amino)-4-pyrimidinyl)acetonitrile",C489138,,"Leukemia, Monocytic, Acute",MESH:D007948,therapeutic,,,,16972261
"1-((3-benzyl-3-methyl-2,3-dihydro-1-benzofuran-6-yl)carbonyl)piperidine",C534147,,Hyperalgesia,MESH:D006930,therapeutic,,,,18846037|30414958
"1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole",C524478,,Disorders of Sex Development,MESH:D012734,therapeutic,,,,21420409
"1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole",C524478,,Neoplasm Invasiveness,MESH:D009361,therapeutic,,,,33683587
"1,3-butylene glycol",C028491,107-88-0,Brain Edema,MESH:D001929,therapeutic,,,,2219211|8630150
"1,3-butylene glycol",C028491,107-88-0,Brain Ischemia,MESH:D002545,therapeutic,,,,3810756|4049449|6729886|7859074
"1,3-butylene glycol",C028491,107-88-0,Chemical and Drug Induced Liver Injury,MESH:D056486,therapeutic,,,,6138230
"1,3-butylene glycol",C028491,107-88-0,"Diabetes Mellitus, Experimental",MESH:D003921,therapeutic,,,,7649603
"1,3-butylene glycol",C028491,107-88-0,Dog Diseases,MESH:D004283,therapeutic,,,,6524722
"1,3-butylene glycol",C028491,107-88-0,"Hypoxia, Brain",MESH:D002534,therapeutic,,,,3810756|4049449|6729886
"1,3-butylene glycol",C028491,107-88-0,"Ischemic Attack, Transient",MESH:D002546,therapeutic,,,,1668814|3693436
"1,3-butylene glycol",C028491,107-88-0,Nerve Degeneration,MESH:D009410,therapeutic,,,,7824183
"1,3-butylene glycol",C028491,107-88-0,Poisoning,MESH:D011041,therapeutic,,,,1621360|6524722
1-(3-chlorophenyl)biguanide,C065734,48144-44-1,Hypertension,MESH:D006973,therapeutic,,,,15518641
1-(3-chlorophenyl)piperazine,C015068,6640-24-0,Alzheimer Disease,MESH:D000544,therapeutic,,,,1912105
1-(3-chlorophenyl)piperazine,C015068,6640-24-0,Cocaine-Related Disorders,MESH:D019970,therapeutic,,,,9598218
1-(3-chlorophenyl)piperazine,C015068,6640-24-0,Feeding and Eating Disorders,MESH:D001068,therapeutic,,,,28186389|8223940
1-(3-chlorophenyl)piperazine,C015068,6640-24-0,Hyperkinesis,MESH:D006948,therapeutic,,,,17449455
"1,3-diacetoxytetradeca-6,12-dien-8,10-diyne",C579534,,Edema,MESH:D004487,therapeutic,,,,21347999
"1,3-dimethylthiourea",C038983,61805-96-7,Acute Kidney Injury,MESH:D058186,therapeutic,,,,1324513|23384965|3123518
"1,3-dimethylthiourea",C038983,61805-96-7,Albuminuria,MESH:D000419,therapeutic,,,,1658168|9334259
"1,3-dimethylthiourea",C038983,61805-96-7,"Glomerulosclerosis, Focal Segmental",MESH:D005923,therapeutic,,,,17035936
"1,3-dimethylthiourea",C038983,61805-96-7,Kidney Diseases,MESH:D007674,therapeutic,,,,8160791
"1,3-dimethylthiourea",C038983,61805-96-7,"Liver Cirrhosis, Experimental",MESH:D008106,therapeutic,,,,11682029
"1,3-dimethylthiourea",C038983,61805-96-7,"Micronuclei, Chromosome-Defective",MESH:D048629,therapeutic,,,,15066570
"1,3-dimethylthiourea",C038983,61805-96-7,Necrosis,MESH:D009336,therapeutic,,,,21575692
"1,3-dimethylthiourea",C038983,61805-96-7,Proteinuria,MESH:D011507,therapeutic,,,,16171782|1658168|17035936|2848972|7742222|7919151|7977444
"1,3-dipropyl-8-cyclopentylxanthine",C051360,,Basal Ganglia Diseases,MESH:D001480,therapeutic,,,,18594798
"1,3-dipropyl-8-cyclopentylxanthine",C051360,,Chemical and Drug Induced Liver Injury,MESH:D056486,therapeutic,,,,22956627
"1,3-dipropyl-8-cyclopentylxanthine",C051360,,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,therapeutic,,,,15641640
"1,3-dipropyl-8-cyclopentylxanthine",C051360,,Extravasation of Diagnostic and Therapeutic Materials,MESH:D005119,therapeutic,,,,11522602
"1,3-dipropyl-8-cyclopentylxanthine",C051360,,Hypotension,MESH:D007022,therapeutic,,,,15641640
"1,3-dipropyl-8-cyclopentylxanthine",C051360,,Ventricular Dysfunction,MESH:D018754,therapeutic,,,,15641640|18608257
13-hydroxylupanine-2-pyrrolecarbonic acid,C013362,6874-80-2,"Arrhythmias, Cardiac",MESH:D001145,therapeutic,,,,11808
13-hydroxylupanine-2-pyrrolecarbonic acid,C013362,6874-80-2,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,therapeutic,,,,11808
13-hydroxylupanine-2-pyrrolecarbonic acid,C013362,6874-80-2,Ventricular Fibrillation,MESH:D014693,therapeutic,,,,11808
1-(3-trifluoromethylphenyl)piperazine,C018406,15532-75-9,Seizures,MESH:D012640,therapeutic,,,,12423383
"1-(4-(1,1-dimethylheptyl)-2,6-dimethoxyphenyl)-3-methylcyclohexanol",C531961,,Extravasation of Diagnostic and Therapeutic Materials,MESH:D005119,therapeutic,,,,22442067
"1-(4-((2-(2-aminopyrimidin-5-yl)-7-methyl-4-morpholinothieno(3,2-d)pyrimidin-6-yl)methyl)piperazin-1-yl)-2-hydroxypropan-1-one",C569670,,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,therapeutic,,,,23136191
"1-(4-((2-(2-aminopyrimidin-5-yl)-7-methyl-4-morpholinothieno(3,2-d)pyrimidin-6-yl)methyl)piperazin-1-yl)-2-hydroxypropan-1-one",C569670,,Neoplasms,MESH:D009369,therapeutic,,,,21998291
1-(4-(2-(bis(4-fluorophenyl)methoxy)ethyl)piperazinyl)-3-phenylpropan-2-ol,C452424,,Cocaine-Related Disorders,MESH:D019970,therapeutic,,,,11882001
1-((4-(aminocarbonyl)pyridinio)trimethylene)-2-((hydroxyimino)methyl)pyridinium,C531547,,Poisoning,MESH:D011041,therapeutic,,,,20223229
1-(4-(benzothiazol-2-yloxy)benzyl)piperidine-4-carboxylic acid,C521339,,Edema,MESH:D004487,therapeutic,,,,17371808
1-(4-(benzothiazol-2-yloxy)benzyl)piperidine-4-carboxylic acid,C521339,,Inflammation,MESH:D007249,therapeutic,,,,17371808
1-(4-(benzothiazol-2-yloxy)benzyl)piperidine-4-carboxylic acid,C521339,,Peritonitis,MESH:D010538,therapeutic,,,,17371808
"14-benzyloxy-4,5-epoxy-3-hydroxy-17-methylmorphinan-6-one",C500851,,Nociceptive Pain,MESH:D059226,therapeutic,,,,15857143
"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,76150-91-9,Chemical and Drug Induced Liver Injury,MESH:D056486,therapeutic,,,,19433268
"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,76150-91-9,"Cholestasis, Intrahepatic",MESH:D002780,therapeutic,,,,18032408
"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,76150-91-9,Glucose Intolerance,MESH:D018149,therapeutic,,,,21768169
"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,76150-91-9,Paralysis,MESH:D010243,therapeutic,,,,17483497
1-(4-carbamoylpyridinium)-4-(4-hydroxyiminomethylpyridinium)but-2-ene,C524716,,Organophosphate Poisoning,MESH:D062025,therapeutic,,,,19746406
1-(4-chlorobenzoyl)-5-methoxy-2-1H-indole-3-acetic acid 3-(nitrooxymethyl)phenyl ester,C420084,,Colonic Neoplasms,MESH:D003110,therapeutic,,,,16818512
1-(4-chlorobenzoyl)-5-methoxy-2-1H-indole-3-acetic acid 3-(nitrooxymethyl)phenyl ester,C420084,,Necrosis,MESH:D009336,therapeutic,,,,16187199
"1-(4-chlorophenyl)-4-piperidin-1-yl-1,5-dihydroimidazol-2-one",C504151,,Epilepsy,MESH:D004827,therapeutic,,,,19787095
"1,4-cyclohexanediol",C064620,556-48-9,Skin Diseases,MESH:D012871,therapeutic,,,,20025951
14-dehydroxy-3-glucodigitoxigenin,C048858,102492-19-3,Heart Failure,MESH:D006333,therapeutic,,,,2943245
