drug,drug_name,disease,disease_name,indication
DB00001,Lepirudin,C0040038,Thromboembolism,1
DB00001,Lepirudin,C0002965,"Angina, Unstable",1
DB00001,Lepirudin,C0040053,thrombosis,1
DB00002,Cetuximab,C0007102,Malignant Tumor Of Colon,1
DB00002,Cetuximab,C1168401,head and neck squamous cell carcinoma (HNSCC),1
DB00004,Denileukin diftitox,C0079773,cutaneous T-cell lymphoma (CTCL),1
DB00005,Etanercept,C0003873,rheumatoid arthritis,1
DB00005,Etanercept,C3495559,Juvenile Arthritis,1
DB00005,Etanercept,C0003872,psoriatic arthritis,1
DB00005,Etanercept,C0038013,ankylosing spondylitis,1
DB00007,leuprolide,C0034013,precocious puberty,1
DB00007,leuprolide,C0014175,endometriosis,1
DB00007,leuprolide,C0376358,Malignant Neoplasm Of Prostate,1
DB00007,leuprolide,C0042133,Uterine Fibroids,1
DB00007,leuprolide,C0021359,infertility,1
DB00007,leuprolide,C0021361,Female Infertility,1
DB00007,leuprolide,C1458155,Mammary Neoplasms,1
DB00007,leuprolide,C0014170,Endometrial Neoplasms,1
DB00007,leuprolide,C0023267,Fibroid Tumor,1
DB00007,leuprolide,C0919267,Ovarian Neoplasm,1
DB00007,leuprolide,C2937421,Prostatic Hyperplasia,1
DB00007,leuprolide,C0033578,Prostatic Neoplasms,1
DB00008,Peginterferon alfa-2a,C0524910,"Hepatitis C, Chronic",1
DB00008,Peginterferon alfa-2a,C0524909,"Hepatitis B, Chronic",1
DB00008,Peginterferon alfa-2a,C0276535,Aids With Kaposi'S Sarcoma,1
DB00008,Peginterferon alfa-2a,C0023443,hairy cell leukemia,1
DB00008,Peginterferon alfa-2a,C0025202,melanoma,1
DB00008,Peginterferon alfa-2a,C0006118,Brain Neoplasms,1
DB00008,Peginterferon alfa-2a,C2239176,hepatocellular carcinoma (HCC),1
DB00008,Peginterferon alfa-2a,C0007134,renal cell carcinoma (RCC),1
DB00008,Peginterferon alfa-2a,C0009404,Colorectal Neoplasms,1
DB00008,Peginterferon alfa-2a,C0018916,Hemangioma,1
DB00008,Peginterferon alfa-2a,C1540912,hypereosinophilic syndrome (HES),1
DB00008,Peginterferon alfa-2a,C0024437,macular degeneration,1
DB00008,Peginterferon alfa-2a,C0026764,multiple myeloma,1
DB00008,Peginterferon alfa-2a,C0026948,Mycosis Fungoides,1
DB00008,Peginterferon alfa-2a,C0036220,Kaposi sarcoma,1
DB00008,Peginterferon alfa-2a,C0036920,Sezary Syndrome,1
DB00008,Peginterferon alfa-2a,C0037286,Skin Neoplasms,1
DB00008,Peginterferon alfa-2a,C0037299,skin ulcer,1
DB00008,Peginterferon alfa-2a,C0040028,"Thrombocythemia, Essential",1
DB00009,Alteplase,C0948008,Ischemic Stroke,1
DB00009,Alteplase,C0034065,pulmonary embolism (PE),1
DB00009,Alteplase,C0027051,Myocardial Infarction,1
DB00009,Alteplase,C0040053,thrombosis,1
DB00010,Sermorelin,C0013338,Pituitary Dwarfism,1
DB00010,Sermorelin,C0343755,Hiv Wasting Syndrome,1
DB00010,Sermorelin,C0021359,infertility,1
DB00013,Urokinase,C0034065,pulmonary embolism (PE),1
DB00013,Urokinase,C0010072,Coronary Thrombosis,1
DB00013,Urokinase,C0027051,Myocardial Infarction,1
DB00013,Urokinase,C0042487,Venous Thrombosis,1
DB00013,Urokinase,C0040053,thrombosis,1
DB00014,goserelin-acetate,C0014175,endometriosis,1
DB00014,goserelin-acetate,C0006142,Malignant Neoplasm Of Breast,1
DB00015,Reteplase,C0018802,congestive heart failure,1
DB00015,Reteplase,C0027051,Myocardial Infarction,1
DB00015,Reteplase,C0034065,pulmonary embolism (PE),1
DB00015,Reteplase,C0040053,thrombosis,1
DB00015,Reteplase,C0242973,Ventricular Dysfunction,1
DB00016,Erythropoietin,C0002871,anemia,1
DB00017,Salmon Calcitonin,C0029458,"Osteoporosis, Postmenopausal",1
DB00017,Salmon Calcitonin,C0029401,Osteitis Deformans,1
DB00017,Salmon Calcitonin,C0020437,hypercalcemia,1
DB00017,Salmon Calcitonin,C0029456,osteoporosis,1
DB00020,sargramostim,C1458155,Mammary Neoplasms,1
DB00020,sargramostim,C0019829,Hodgkin's lymphoma,1
DB00020,sargramostim,C0023449,Acute Lymphocytic Leukemia,1
DB00022,Peginterferon alfa-2b,C0524910,"Hepatitis C, Chronic",1
DB00022,Peginterferon alfa-2b,C0006118,Brain Neoplasms,1
DB00022,Peginterferon alfa-2b,C2239176,hepatocellular carcinoma (HCC),1
DB00022,Peginterferon alfa-2b,C0007134,renal cell carcinoma (RCC),1
DB00022,Peginterferon alfa-2b,C0009404,Colorectal Neoplasms,1
DB00022,Peginterferon alfa-2b,C0018916,Hemangioma,1
DB00022,Peginterferon alfa-2b,C1540912,hypereosinophilic syndrome (HES),1
DB00022,Peginterferon alfa-2b,C0023443,hairy cell leukemia,1
DB00022,Peginterferon alfa-2b,C0024437,macular degeneration,1
DB00022,Peginterferon alfa-2b,C0025202,melanoma,1
DB00022,Peginterferon alfa-2b,C0026764,multiple myeloma,1
DB00022,Peginterferon alfa-2b,C0026948,Mycosis Fungoides,1
DB00022,Peginterferon alfa-2b,C0036220,Kaposi sarcoma,1
DB00022,Peginterferon alfa-2b,C0036920,Sezary Syndrome,1
DB00022,Peginterferon alfa-2b,C0037286,Skin Neoplasms,1
DB00022,Peginterferon alfa-2b,C0037299,skin ulcer,1
DB00022,Peginterferon alfa-2b,C0040028,"Thrombocythemia, Essential",1
DB00026,Anakinra,C0003873,rheumatoid arthritis,1
DB00026,Anakinra,C2316212,Cryopyrin-Associated Periodic Syndromes,1
DB00026,Anakinra,C0409818,"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome",1
DB00030,insulin human,C0011854,"Diabetes Mellitus, Insulin-Dependent",1
DB00030,insulin human,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",1
DB00030,insulin human,C0011849,diabetes mellitus,1
DB00030,insulin human,C2748055,Hypoinsulinaemia,1
DB00030,insulin human,C0021655,Insulin Resistance,1
DB00031,Tenecteplase,C0027051,Myocardial Infarction,1
DB00031,Tenecteplase,C0010072,Coronary Thrombosis,1
DB00031,Tenecteplase,C0040053,thrombosis,1
DB00035,Desmopressin,C0019069,Hemophilia A,1
DB00035,Desmopressin,C0011848,Diabetes Insipidus,1
DB00035,Desmopressin,C0018924,Hemarthrosis,1
DB00035,Desmopressin,C0019080,hemorrhage,1
DB00035,Desmopressin,C0041948,Uremia,1
DB00036,Coagulation factor VIIa Recombinant Human,C0019069,Hemophilia A,1
DB00036,Coagulation factor VIIa Recombinant Human,C0008533,Hemophilia B,1
DB00036,Coagulation factor VIIa Recombinant Human,C0040015,Thrombasthenia,1
DB00036,Coagulation factor VIIa Recombinant Human,C0015503,Factor Vii Deficiency,1
DB00036,Coagulation factor VIIa Recombinant Human,C0019080,hemorrhage,1
DB00038,Oprelvekin,C0040034,thrombocytopenia,1
DB00039,palifermin,C0376545,Hematologic Neoplasms,1
DB00040,Glucagon recombinant,C0020615,hypoglycemia,1
DB00040,Glucagon recombinant,C0002792,Anaphylaxis,1
DB00040,Glucagon recombinant,C0428977,bradycardia,1
DB00040,Glucagon recombinant,C0036980,"Shock, Cardiogenic",1
DB00040,Glucagon recombinant,C0011849,diabetes mellitus,1
DB00041,aldesleukin,C0023467,"Leukemia, Myelocytic, Acute",1
DB00041,aldesleukin,C0007134,renal cell carcinoma (RCC),1
DB00041,aldesleukin,C0009404,Colorectal Neoplasms,1
DB00041,aldesleukin,C0024305,non-Hodgkin lymphoma (NHL),1
DB00041,aldesleukin,C0025202,melanoma,1
DB00041,aldesleukin,C0026764,multiple myeloma,1
DB00043,omalizumab,C0004096,asthma,1
DB00043,omalizumab,C0020517,Hypersensitivity,1
DB00046,Insulin Lispro,C0011854,"Diabetes Mellitus, Insulin-Dependent",1
DB00046,Insulin Lispro,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",1
DB00046,Insulin Lispro,C0011849,diabetes mellitus,1
DB00046,Insulin Lispro,C0020456,hyperglycemia,1
DB00046,Insulin Lispro,C2748055,Hypoinsulinaemia,1
DB00047,Insulin Glargine,C0011854,"Diabetes Mellitus, Insulin-Dependent",1
DB00047,Insulin Glargine,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",1
DB00047,Insulin Glargine,C0011849,diabetes mellitus,1
DB00047,Insulin Glargine,C0020456,hyperglycemia,1
DB00047,Insulin Glargine,C2748055,Hypoinsulinaemia,1
DB00048,Collagenase clostridium histolyticum,C0030848,Peyronie's disease,1
DB00048,Collagenase clostridium histolyticum,C0037299,skin ulcer,1
DB00051,Adalimumab,C0003873,rheumatoid arthritis,1
DB00051,Adalimumab,C3495559,Juvenile Arthritis,1
DB00051,Adalimumab,C0003872,psoriatic arthritis,1
DB00051,Adalimumab,C0038013,ankylosing spondylitis,1
DB00051,Adalimumab,C0010346,Crohn's disease,1
DB00051,Adalimumab,C0009324,ulcerative colitis,1
DB00051,Adalimumab,C0162836,Hidradenitis Suppurativa,1
DB00052,Somatropin recombinant,C0151686,Growth retardation,1
DB00052,Somatropin recombinant,C0032897,Prader-Willi Syndrome,1
DB00052,Somatropin recombinant,C0013338,Pituitary Dwarfism,1
DB00052,Somatropin recombinant,C0041408,Turner Syndrome,1
DB00052,Somatropin recombinant,C0878787,Growth Failure,1
DB00052,Somatropin recombinant,C0001206,acromegaly,1
DB00052,Somatropin recombinant,C0343755,Hiv Wasting Syndrome,1
DB00056,Gemtuzumab ozogamicin,C0023467,"Leukemia, Myelocytic, Acute",1
DB00056,Gemtuzumab ozogamicin,C0023479,Acute Myelomonocytic Leukemia,1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0751967,"Multiple Sclerosis, Relapsing-Remitting",1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0006118,Brain Neoplasms,1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C2239176,hepatocellular carcinoma (HCC),1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0007134,renal cell carcinoma (RCC),1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0009404,Colorectal Neoplasms,1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0018916,Hemangioma,1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0524910,"Hepatitis C, Chronic",1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C1540912,hypereosinophilic syndrome (HES),1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0023443,hairy cell leukemia,1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0024437,macular degeneration,1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0025202,melanoma,1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0026764,multiple myeloma,1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0026948,Mycosis Fungoides,1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0036220,Kaposi sarcoma,1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0036920,Sezary Syndrome,1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0037286,Skin Neoplasms,1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0037299,skin ulcer,1
DB00060,"INTERFERON BETA-1A,RECOMBINANT",C0040028,"Thrombocythemia, Essential",1
DB00063,eptifibatide,C0948089,acute coronary syndrome (ACS),1
DB00063,eptifibatide,C0027051,Myocardial Infarction,1
DB00063,eptifibatide,C0002965,"Angina, Unstable",1
DB00063,eptifibatide,C0040053,thrombosis,1
DB00065,Infliximab,C0010346,Crohn's disease,1
DB00065,Infliximab,C0009324,ulcerative colitis,1
DB00065,Infliximab,C0003873,rheumatoid arthritis,1
DB00065,Infliximab,C0038013,ankylosing spondylitis,1
DB00065,Infliximab,C0003872,psoriatic arthritis,1
DB00065,Infliximab,C3495559,Juvenile Arthritis,1
DB00067,vasopressin,C0019069,Hemophilia A,1
DB00067,vasopressin,C0019080,hemorrhage,1
DB00067,vasopressin,C0011848,Diabetes Insipidus,1
DB00067,vasopressin,C0017181,Gastrointestinal Hemorrhage,1
DB00067,vasopressin,C0042514,ventricular tachycardia (VT),1
DB00067,vasopressin,C0042510,ventricular fibrillation (VF),1
DB00068,Interferon beta-1b,C0751967,"Multiple Sclerosis, Relapsing-Remitting",1
DB00068,Interferon beta-1b,C0026769,multiple sclerosis,1
DB00068,Interferon beta-1b,C0006118,Brain Neoplasms,1
DB00068,Interferon beta-1b,C2239176,hepatocellular carcinoma (HCC),1
DB00068,Interferon beta-1b,C0007134,renal cell carcinoma (RCC),1
DB00068,Interferon beta-1b,C0009404,Colorectal Neoplasms,1
DB00068,Interferon beta-1b,C0018916,Hemangioma,1
DB00068,Interferon beta-1b,C0524910,"Hepatitis C, Chronic",1
DB00068,Interferon beta-1b,C1540912,hypereosinophilic syndrome (HES),1
DB00068,Interferon beta-1b,C0023443,hairy cell leukemia,1
DB00068,Interferon beta-1b,C0024437,macular degeneration,1
DB00068,Interferon beta-1b,C0025202,melanoma,1
DB00068,Interferon beta-1b,C0026764,multiple myeloma,1
DB00068,Interferon beta-1b,C0026948,Mycosis Fungoides,1
DB00068,Interferon beta-1b,C0036220,Kaposi sarcoma,1
DB00068,Interferon beta-1b,C0036920,Sezary Syndrome,1
DB00068,Interferon beta-1b,C0037286,Skin Neoplasms,1
DB00068,Interferon beta-1b,C0037299,skin ulcer,1
DB00068,Interferon beta-1b,C0040028,"Thrombocythemia, Essential",1
DB00072,trastuzumab,C1458155,Mammary Neoplasms,1
DB00073,Rituximab,C0024305,non-Hodgkin lymphoma (NHL),1
DB00073,Rituximab,C0023434,chronic lymphocytic leukemia (CLL),1
DB00073,Rituximab,C0003873,rheumatoid arthritis,1
DB00073,Rituximab,C0079731,B-Cell Lymphomas,1
DB00078,Ibritumomab tiuxetan,C0024301,follicular lymphoma,1
DB00078,Ibritumomab tiuxetan,C0079731,B-Cell Lymphomas,1
DB00078,Ibritumomab tiuxetan,C0024305,non-Hodgkin lymphoma (NHL),1
DB00082,Pegvisomant,C0001206,acromegaly,1
DB00087,Alemtuzumab,C0751967,"Multiple Sclerosis, Relapsing-Remitting",1
DB00087,Alemtuzumab,C0023434,chronic lymphocytic leukemia (CLL),1
DB00091,cyclosporine,C0003873,rheumatoid arthritis,1
DB00091,cyclosporine,C0013238,dry eye syndrome,1
DB00091,cyclosporine,C0022575,Keratoconjunctivitis Sicca,1
DB00091,cyclosporine,C0033860,psoriasis,1
DB00091,cyclosporine,C0017668,Focal Glomerulosclerosis,1
DB00091,cyclosporine,C0024141,"Lupus Erythematosus, Systemic",1
DB00091,cyclosporine,C0026896,myasthenia gravis,1
DB00091,cyclosporine,C0004096,asthma,1
DB00092,alefacept,C0033860,psoriasis,1
DB00095,efalizumab,C0033860,psoriasis,1
DB00099,Filgrastim,C0221023,Cyclic neutropenia,1
DB00100,Coagulation Factor IX,C0008533,Hemophilia B,1
DB00100,Coagulation Factor IX,C0015503,Factor Vii Deficiency,1
DB00100,Coagulation Factor IX,C0019069,Hemophilia A,1
DB00100,Coagulation Factor IX,C0020640,Inherited Factor Ii Deficiency,1
DB00100,Coagulation Factor IX,C0019080,hemorrhage,1
DB00102,Becaplermin,C0037299,skin ulcer,1
DB00104,octreotide,C0001206,acromegaly,1
DB00104,octreotide,C0024586,Malignant Carcinoid Syndrome,1
DB00104,octreotide,C0001430,Adenoma,1
DB00104,octreotide,C0030297,Pancreatic Neoplasm,1
DB00104,octreotide,C0032019,Pituitary Neoplasms,1
DB00104,octreotide,C0011991,diarrhea,1
DB00104,octreotide,C0007095,carcinoid tumors,1
DB00106,Abarelix,C0376358,Malignant Neoplasm Of Prostate,1
DB00107,oxytocin,C0032787,Postoperative Complications,1
DB00108,Natalizumab,C0026769,multiple sclerosis,1
DB00108,Natalizumab,C0010346,Crohn's disease,1
DB00110,palivizumab,C0006287,Bronchopulmonary Dysplasia,1
DB00110,palivizumab,C0151526,Premature Birth,1
DB00112,Bevacizumab,C1621958,Glioblastoma Multiforme,1
DB00115,cyanocobalamin,C0162316,Iron Deficiency Anemia,1
DB00115,cyanocobalamin,C0042847,Vitamin B 12 Deficiency,1
DB00115,cyanocobalamin,C0011882,Diabetic Neuropathies,1
DB00115,cyanocobalamin,C0026769,multiple sclerosis,1
DB00115,cyanocobalamin,C1394891,Intrinsic Factor Deficiency,1
DB00115,cyanocobalamin,C0002871,anemia,1
DB00115,cyanocobalamin,C0007570,celiac disease,1
DB00121,Biotin,C0162429,Malnutrition,1
DB00122,Choline,C0917801,Sleeplessness,1
DB00122,Choline,C0162429,Malnutrition,1
DB00122,Choline,C0020473,hyperlipidemia,1
DB00126,Vitamin C,C0025637,methemoglobinemia,1
DB00126,Vitamin C,C0268483,tyrosinemia,1
DB00128,L-Aspartic Acid,C0020621,hypokalemia,1
DB00130,glutamine-(l),C0162429,Malnutrition,1
DB00130,glutamine-(l),C0011991,diarrhea,1
DB00130,glutamine-(l),C0231528,muscle pain,1
DB00130,glutamine-(l),C0003862,joint pain,1
DB00130,glutamine-(l),C0009324,ulcerative colitis,1
DB00130,glutamine-(l),C0010346,Crohn's disease,1
DB00130,glutamine-(l),C0003467,anxiety,1
DB00130,glutamine-(l),C0917801,Sleeplessness,1
DB00131,Adenosine monophosphate,C0162429,Malnutrition,1
DB00133,L-Serine,C0017612,"Glaucoma, Open-Angle",1
DB00136,calcitriol,C0020598,hypocalcemia,1
DB00136,calcitriol,C0085682,hypophosphatemia,1
DB00136,calcitriol,C0020626,hypoparathyroidism,1
DB00136,calcitriol,C0033860,psoriasis,1
DB00136,calcitriol,C0022661,chronic renal failure,1
DB00136,calcitriol,C0029456,osteoporosis,1
DB00136,calcitriol,C0035579,rickets,1
DB00136,calcitriol,C0042870,vitamin D deficiency,1
DB00136,calcitriol,C0020502,hyperparathyroidism,1
DB00136,calcitriol,C0042875,vitamin E deficiency,1
DB00136,calcitriol,C0042842,Vitamin A Deficiency,1
DB00139,Succinic acid,C0162316,Iron Deficiency Anemia,1
DB00139,Succinic acid,C0041582,Ulcer,1
DB00139,Succinic acid,C0162429,Malnutrition,1
DB00145,Glycine,C0010200,Coughing,1
DB00145,Glycine,C0027424,Nasal congestion (finding),1
DB00145,Glycine,C2607914,Allergic Rhinitis (Disorder),1
DB00145,Glycine,C0035455,Rhinitis,1
DB00145,Glycine,C0030920,Peptic Ulcer,1
DB00146,Calcidiol,C0020598,hypocalcemia,1
DB00146,Calcidiol,C0035579,rickets,1
DB00146,Calcidiol,C0085682,hypophosphatemia,1
DB00146,Calcidiol,C0020626,hypoparathyroidism,1
DB00146,Calcidiol,C0022661,chronic renal failure,1
DB00146,Calcidiol,C0029456,osteoporosis,1
DB00146,Calcidiol,C0042870,vitamin D deficiency,1
DB00151,L-Cysteine,C0002726,Amyloidosis,1
DB00151,L-Cysteine,C0006267,Bronchiectasis,1
DB00151,L-Cysteine,C1408258,Kidney; Damage,1
DB00152,thiamine,C0042847,Vitamin B 12 Deficiency,1
DB00152,thiamine,C0349464,Wernicke-Korsakoff Syndrome,1
DB00152,thiamine,C0039841,thiamine deficiency,1
DB00153,ergocalciferol,C0042870,vitamin D deficiency,1
DB00153,ergocalciferol,C0029442,osteomalacia,1
DB00153,ergocalciferol,C0035579,rickets,1
DB00153,ergocalciferol,C0029456,osteoporosis,1
DB00153,ergocalciferol,C0020598,hypocalcemia,1
DB00153,ergocalciferol,C0029458,"Osteoporosis, Postmenopausal",1
DB00153,ergocalciferol,C0020626,hypoparathyroidism,1
DB00153,ergocalciferol,C0001122,Acidosis,1
DB00153,ergocalciferol,C0015624,Fanconi Syndrome,1
DB00153,ergocalciferol,C0085682,hypophosphatemia,1
DB00153,ergocalciferol,C0042842,Vitamin A Deficiency,1
DB00158,folic-acid,C0162316,Iron Deficiency Anemia,1
DB00158,folic-acid,C0016412,Folic Acid Deficiency,1
DB00158,folic-acid,C0002871,anemia,1
DB00158,folic-acid,C0002888,megaloblastic anemia,1
DB00158,folic-acid,C0007570,celiac disease,1
DB00158,folic-acid,C0042847,Vitamin B 12 Deficiency,1
DB00159,icosapent,C0020557,hypertriglyceridemia,1
DB00159,icosapent,C0010674,cystic fibrosis,1
DB00159,icosapent,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",1
DB00159,icosapent,C0011881,diabetic nephropathy,1
DB00162,retinol,C0042842,Vitamin A Deficiency,1
DB00162,retinol,C0702166,Acne,1
DB00162,retinol,C0042870,vitamin D deficiency,1
DB00162,retinol,C0022593,keratosis,1
DB00163,Vitamin E,C0042875,vitamin E deficiency,1
DB00163,Vitamin E,C0002395,Alzheimer's disease,1
DB00163,Vitamin E,C0004096,asthma,1
DB00163,Vitamin E,C0003873,rheumatoid arthritis,1
DB00163,Vitamin E,C0004153,atherosclerosis,1
DB00165,pyridoxine,C1849508,"EPILEPSY, PYRIDOXINE-DEPENDENT",1
DB00165,pyridoxine,C0936215,vitamin B6 deficiency,1
DB00169,cholecalciferol,C0029458,"Osteoporosis, Postmenopausal",1
DB00169,cholecalciferol,C0020626,hypoparathyroidism,1
DB00169,cholecalciferol,C0035579,rickets,1
DB00169,cholecalciferol,C0020598,hypocalcemia,1
DB00169,cholecalciferol,C0029442,osteomalacia,1
DB00169,cholecalciferol,C0029456,osteoporosis,1
DB00169,cholecalciferol,C0022661,chronic renal failure,1
DB00169,cholecalciferol,C0042870,vitamin D deficiency,1
DB00169,cholecalciferol,C0010346,Crohn's disease,1
DB00169,cholecalciferol,C0024121,Lung Neoplasms,1
DB00169,cholecalciferol,C0033860,psoriasis,1
DB00169,cholecalciferol,C0037286,Skin Neoplasms,1
DB00169,cholecalciferol,C0042842,Vitamin A Deficiency,1
DB00175,pravastatin,C0038454,stroke,1
DB00175,pravastatin,C0020479,Hyperlipoproteinemia Type Iii,1
DB00175,pravastatin,C0020443,hypercholesterolemia,1
DB00175,pravastatin,C0020557,hypertriglyceridemia,1
DB00175,pravastatin,C0020474,"Hyperlipidemia, Familial Combined",1
DB00175,pravastatin,C0003850,arteriosclerosis,1
DB00175,pravastatin,C0027051,Myocardial Infarction,1
DB00175,pravastatin,C0020473,hyperlipidemia,1
DB00175,pravastatin,C0020476,Hyperlipoproteinemias,1
DB00176,fluvoxamine,C0028768,obsessive compulsive disorder (OCD),1
DB00177,valsartan,C0020538,Hypertensive disease,1
DB00177,valsartan,C0011881,diabetic nephropathy,1
DB00177,valsartan,C0018802,congestive heart failure,1
DB00177,valsartan,C0242698,"Ventricular Dysfunction, Left",1
DB00178,ramipril,C0038454,stroke,1
DB00178,ramipril,C0020538,Hypertensive disease,1
DB00178,ramipril,C0018802,congestive heart failure,1
DB00178,ramipril,C0011849,diabetes mellitus,1
DB00178,ramipril,C0730345,Microalbuminuria,1
DB00178,ramipril,C0027051,Myocardial Infarction,1
DB00179,masoprocol,C0020456,hyperglycemia,1
DB00179,masoprocol,C0022593,keratosis,1
DB00180,flunisolide,C2607914,Allergic Rhinitis (Disorder),1
DB00180,flunisolide,C0004096,asthma,1
DB00180,flunisolide,C0035457,"Rhinitis, Allergic, Perennial",1
DB00181,baclofen,C0026769,multiple sclerosis,1
DB00181,baclofen,C0005697,neurogenic bladder,1
DB00181,baclofen,C0007789,Cerebral Palsy,1
DB00181,baclofen,C0020179,Huntington's disease,1
DB00181,baclofen,C0037930,Spinal Cord Neoplasms,1
DB00181,baclofen,C0038018,Spondylolysis,1
DB00181,baclofen,C0040997,Trigeminal Neuralgia,1
DB00181,baclofen,C0037763,spasms,1
DB00182,Amphetamine,C0028754,obesity,1
DB00182,Amphetamine,C1263846,attention-deficit/hyperactivity disorder (ADHD),1
DB00182,Amphetamine,C0027404,narcolepsy,1
DB00186,lorazepam,C0238111,Lennox-Gastaut Syndrome,1
DB00186,lorazepam,C0014553,Absence Epilepsy,1
DB00186,lorazepam,C0014550,"Epilepsies, Myoclonic",1
DB00186,lorazepam,C0270846,Epileptic drop attack,1
DB00186,lorazepam,C0003467,anxiety,1
DB00186,lorazepam,C0038220,status epilepticus,1
DB00186,lorazepam,C0030319,panic disorders,1
DB00186,lorazepam,C0021603,Sleep Initiation And Maintenance Disorders,1
DB00186,lorazepam,C0014544,epilepsy,1
DB00187,esmolol,C0004238,atrial fibrillation (AF),1
DB00187,esmolol,C0039240,Supraventricular Tachycardia,1
DB00187,esmolol,C0042514,ventricular tachycardia (VT),1
DB00188,bortezomib,C0026764,multiple myeloma,1
DB00188,bortezomib,C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",1
DB00189,Ethchlorvynol,C0917801,Sleeplessness,1
DB00189,Ethchlorvynol,C0021603,Sleep Initiation And Maintenance Disorders,1
DB00190,carbidopa,C0030567,Parkinson's Disease,1
DB00190,carbidopa,C0242422,Parkinsonian Disorders,1
DB00191,phentermine,C0020649,hypotension,1
DB00191,phentermine,C0028754,obesity,1
DB00193,tramadol,C0150055,chronic pain,1
DB00193,tramadol,C0029408,osteoarthritis,1
DB00193,tramadol,C0030193,Pain,1
DB00193,tramadol,C0235063,respiratory depression,1
DB00195,betaxolol,C0020538,Hypertensive disease,1
DB00195,betaxolol,C0028840,ocular hypertension,1
DB00195,betaxolol,C0017612,"Glaucoma, Open-Angle",1
DB00195,betaxolol,C0017601,glaucoma,1
DB00196,fluconazole,C0025289,meningitis,1
DB00199,erythromycin,C0155862,Streptococcal Pneumonia,1
DB00199,erythromycin,C0025289,meningitis,1
DB00199,erythromycin,C0008311,Cholangitis,1
DB00199,erythromycin,C2242472,Infection of bone,1
DB00199,erythromycin,C0042029,Urinary tract infection,1
DB00199,erythromycin,C0017160,gastroenteritis,1
DB00199,erythromycin,C0702166,Acne,1
DB00200,Hydroxocobalamin,C0042847,Vitamin B 12 Deficiency,1
DB00200,Hydroxocobalamin,C0007570,celiac disease,1
DB00200,Hydroxocobalamin,C0020550,hyperthyroidism,1
DB00200,Hydroxocobalamin,C0024523,Malabsorption Syndrome,1
DB00200,Hydroxocobalamin,C0346647,Malignant Neoplasm Of Pancreas,1
DB00200,Hydroxocobalamin,C0011882,Diabetic Neuropathies,1
DB00200,Hydroxocobalamin,C0026769,multiple sclerosis,1
DB00200,Hydroxocobalamin,C0002871,anemia,1
DB00201,caffeine,C2607914,Allergic Rhinitis (Disorder),1
DB00201,caffeine,C0030193,Pain,1
DB00201,caffeine,C0004604,Back Pain,1
DB00201,caffeine,C0003862,joint pain,1
DB00201,caffeine,C0026838,Muscle Spasticity,1
DB00201,caffeine,C0027424,Nasal congestion (finding),1
DB00201,caffeine,C0013390,Dysmenorrhea,1
DB00201,caffeine,C0149931,Migraine Disorders,1
DB00201,caffeine,C0003578,Apnea,1
DB00201,caffeine,C0015672,fatigue,1
DB00201,caffeine,C0013144,drowsiness,1
DB00203,sildenafil,C2973725,pulmonary arterial hypertension (PAH),1
DB00203,sildenafil,C0242350,erectile dysfunction,1
DB00206,reserpine,C0033975,Psychotic Disorders,1
DB00206,reserpine,C0020538,Hypertensive disease,1
DB00206,reserpine,C0085580,Essential Hypertension,1
DB00206,reserpine,C0013384,Dyskinetic Syndrome,1
DB00207,azithromycin,C0155862,Streptococcal Pneumonia,1
DB00207,azithromycin,C0029882,Otitis Media,1
DB00207,azithromycin,C0702166,Acne,1
DB00207,azithromycin,C0032285,pneumonia,1
DB00208,ticlopidine,C0038454,stroke,1
DB00208,ticlopidine,C0040053,thrombosis,1
DB00209,trospium,C0042023,Increased frequency of micturition,1
DB00209,trospium,C0085606,Urgency of micturition,1
DB00209,trospium,C0878773,Overactive Bladder,1
DB00209,trospium,C0042024,urinary incontinence,1
DB00210,adapalene,C0702166,Acne,1
DB00211,midodrine,C0020651,"Hypotension, Orthostatic",1
DB00211,midodrine,C0042024,urinary incontinence,1
DB00211,midodrine,C0020649,hypotension,1
